START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.4090, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.6590, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.9090, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1590, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.1590, 0.1633, 0.8948], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.3755, 0.1633, 0.8709], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.5920, 0.1633, 0.8709], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.5920, 0.1633, 0.8709], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [8.5920, 0.1633, 0.8709], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [8.5920, 0.1633, 0.8709], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [8.5920, 0.1633, 0.8709], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [8.5920, 0.1633, 0.8709], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.3420, 0.1633, 0.8709], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.0920, 0.1633, 0.8710], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.8420, 0.1633, 0.8710], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [7.5920, 0.1633, 0.8710], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [7.3755, 0.1633, 0.9960], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [7.3755, 0.1633, 0.9960], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
