START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.9650, -2.8791, -0.2895], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.9650, -2.8791, -0.5395], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.9650, -2.8791, -0.7895], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.9650, -2.8791, -1.0395], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.9649, -2.8791, -1.2895], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.9649, -2.8791, -1.5395], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.9649, -2.8791, -1.7895], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [4.9649, -2.8791, -1.7895], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.0899, -2.8791, -2.0060], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [5.0899, -2.8791, -2.0060], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [5.0899, -2.8791, -2.2560], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [5.0899, -2.8791, -2.5060], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [5.0899, -2.8791, -2.7560], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [5.0899, -2.8791, -3.0060], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [5.0898, -2.8791, -3.2560], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [5.0898, -2.8791, -3.2560], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.9648, -2.8957, -3.4725], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.8398, -2.9073, -3.6890], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.7148, -2.9192, -3.9055], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.5898, -2.9311, -4.1220], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.4648, -2.9522, -4.3385], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.3398, -2.9928, -4.5550], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.2148, -3.0107, -4.7715], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.0898, -3.0286, -4.9880], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [3.9647, -3.0464, -5.2045], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [3.8397, -3.0534, -5.4210], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [3.8397, -3.0534, -5.4210], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.6232, -3.0791, -5.5460], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.4067, -3.0791, -5.6710], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.1902, -3.0791, -5.7960], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.9737, -3.0791, -5.9210], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [2.9737, -3.0791, -5.9210], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
stop, Pos: [2.9737, -3.0791, -5.9210], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
