START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [4.9650, -2.8791, -0.0395], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [4.9650, -2.8791, -0.0395], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [4.9650, -2.8791, -0.0395], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [4.9650, -2.8791, -0.0395], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.0900, -2.8791, -0.2560], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.2150, -2.8791, -0.4725], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.3400, -2.8791, -0.6890], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.4650, -2.8791, -0.9055], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.5899, -2.8791, -1.1221], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.7149, -2.8791, -1.3386], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.8399, -2.8791, -1.5551], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.9649, -2.8791, -1.7716], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [6.0899, -2.8791, -1.9881], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [6.0899, -2.8791, -1.9881], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [6.3064, -2.8791, -2.1131], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [6.5229, -2.8791, -2.2381], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [6.7394, -2.8791, -2.3631], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [6.9559, -2.8791, -2.4881], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [7.1724, -2.8791, -2.6132], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [7.3889, -2.8791, -2.7382], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [7.3889, -2.8791, -2.7382], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [7.3889, -2.8791, -2.7382], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.3889, -2.8791, -2.9882], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.3889, -2.8791, -3.2382], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [7.3889, -2.8791, -3.2382], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [7.5139, -2.8791, -3.4547], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [7.5139, -2.8791, -3.4547], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5139, -2.8791, -3.7047], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5138, -2.8791, -3.9547], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5138, -2.8791, -4.2047], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5138, -2.8791, -4.4547], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5138, -2.8791, -4.7047], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5138, -2.8791, -4.9547], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5138, -2.8791, -5.2047], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5138, -2.8791, -5.4547], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.5138, -2.8791, -5.7047], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [7.5138, -2.8791, -5.7047], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [7.3887, -2.8791, -5.9212], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [7.3887, -2.8791, -5.9212], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.3887, -2.8791, -6.1712], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [7.3887, -2.8791, -6.1712], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [7.3887, -2.8791, -6.1712], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [7.3887, -2.8791, -6.1712], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.6387, -2.8791, -6.1712], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [7.6387, -2.8791, -6.1712], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [7.6387, -2.8791, -6.1712], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [7.7637, -2.8791, -5.9547], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [7.8888, -2.8791, -5.7382], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [7.8888, -2.8791, -5.7382], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [7.8888, -2.8791, -5.7382], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [7.8888, -2.8791, -5.7382], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [7.6723, -2.8791, -5.6132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.6723, -2.8791, -5.3632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.6723, -2.8791, -5.1132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
