START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [4.9650, -2.8791, -0.0395], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.7485, -2.8791, -0.1645], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.5320, -2.8791, -0.2895], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.3155, -2.8791, -0.4145], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.0989, -2.8791, -0.5394], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.8824, -2.8791, -0.6644], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.6659, -2.8791, -0.7894], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.4494, -2.8791, -0.9144], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [3.4494, -2.8791, -0.9144], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.1994, -2.8791, -0.9144], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.9494, -2.8791, -0.9144], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.6994, -2.8791, -0.9144], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.4494, -2.8245, -0.9144], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.1994, -2.8135, -0.9144], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.9494, -2.8468, -0.9143], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.6994, -2.8791, -0.9143], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.4494, -2.8791, -0.9143], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.1994, -2.8791, -0.9143], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.9494, -2.8791, -0.9143], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.6994, -2.8791, -0.9143], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
stop, Pos: [0.6994, -2.8791, -0.9143], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
