START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.7150, -2.8791, -0.0395], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.4650, -2.8791, -0.0395], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.2150, -2.8791, -0.0395], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.9650, -2.8791, -0.0394], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.7150, -2.8791, -0.0394], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.4650, -2.8791, -0.0394], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.2150, -2.8791, -0.0394], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.9650, -2.8791, -0.0394], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.7150, -2.8791, -0.0394], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.4650, -2.7575, -0.0394], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.2150, -2.7476, -0.0394], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.9650, -2.7809, -0.0393], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.7150, -2.8143, -0.0393], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.4650, -2.8476, -0.0393], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.2150, -2.8791, -0.0393], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.9650, -2.8791, -0.0393], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.7150, -2.8791, -0.0393], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.4650, -2.8791, -0.0393], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.2150, -2.8791, -0.0393], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [0.1815, -2.8791, -0.1643], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [0.3980, -2.8791, -0.2893], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [0.6145, -2.8791, -0.4143], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [0.8310, -2.8791, -0.5393], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.0475, -2.8791, -0.6643], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.2640, -2.8791, -0.7893], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.4805, -2.8791, -0.9143], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.6970, -2.8791, -1.0393], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.9135, -2.8699, -1.1643], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [2.1300, -2.8501, -1.2893], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [2.3465, -2.8303, -1.4144], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [2.5630, -2.8791, -1.5394], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [2.7795, -2.8791, -1.6644], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [2.9960, -2.8791, -1.7894], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [3.2125, -2.8791, -1.9144], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [3.4290, -2.9064, -2.0394], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [3.6455, -2.9743, -2.1644], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [3.8620, -3.0423, -2.2894], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [3.8620, -3.0423, -2.2894], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [3.9870, -2.8994, -2.5059], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
