START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.1815, -2.8791, -0.1645], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.3980, -2.8791, -0.2895], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [5.3980, -2.8791, -0.2895], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.5230, -2.8791, -0.5060], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.6480, -2.8791, -0.7225], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.7730, -2.8791, -0.9390], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.8980, -2.8791, -1.1556], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [6.0229, -2.8791, -1.3721], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [6.1479, -2.8791, -1.5886], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [6.2729, -2.8791, -1.8051], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [6.3979, -2.8791, -2.0216], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [6.5229, -2.8791, -2.2381], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [6.5229, -2.8791, -2.2381], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [6.7394, -2.8791, -2.3631], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [6.7394, -2.8791, -2.3631], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [6.8644, -2.8791, -2.5796], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [6.9894, -2.8791, -2.7962], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [7.1144, -2.8791, -3.0127], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [7.2394, -2.8791, -3.2292], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [7.3643, -2.8791, -3.4457], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [7.4893, -2.8791, -3.6622], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [7.4893, -2.8791, -3.6622], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4893, -2.8791, -3.9122], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4893, -2.8791, -4.1622], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4893, -2.8791, -4.4122], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4893, -2.8791, -4.6622], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4893, -2.8791, -4.9122], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4893, -2.8791, -5.1622], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4892, -2.8791, -5.4122], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4892, -2.8791, -5.6622], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4892, -2.8791, -5.9122], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [7.4892, -2.8791, -6.1622], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [7.4892, -2.8791, -6.1622], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [7.4892, -2.8791, -6.1622], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [7.7057, -2.8791, -6.2872], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [7.9034, -2.8791, -6.4138], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [7.9034, -2.8791, -6.4138], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [7.9034, -2.8791, -6.4138], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [7.9034, -2.8791, -6.4138], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [7.7784, -2.8791, -6.6303], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [7.7784, -2.8791, -6.6303], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [7.7784, -2.8791, -6.6303], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.5284, -2.8791, -6.6303], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.2784, -2.8791, -6.6303], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [7.0284, -2.8791, -6.6303], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.7784, -2.8791, -6.6302], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.5284, -2.8791, -6.6302], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.2784, -2.8791, -6.6302], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [6.2784, -2.8791, -6.6302], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.0619, -2.8791, -6.5054], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [6.0619, -2.8791, -6.5054], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.8119, -2.8791, -6.5054], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [5.8119, -2.8791, -6.5054], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.5954, -2.8791, -6.3804], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.3789, -2.8791, -6.2554], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [5.3789, -2.8791, -6.2554], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.1289, -2.8791, -6.2554], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.8789, -2.8791, -6.2554], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.6289, -2.8877, -6.2554], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.3789, -2.9215, -6.2554], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [4.3789, -2.9215, -6.2554], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.1624, -2.9860, -6.1303], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.1624, -2.9860, -6.1303], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.9124, -3.0786, -6.1303], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.6624, -3.0791, -6.1303], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.4826, -3.0791, -6.0425], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.2326, -3.0791, -6.0053], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.9826, -3.0791, -6.0052], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.7326, -3.0791, -6.0052], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.4826, -3.0791, -6.0052], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.2326, -3.0791, -6.0052], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.9826, -3.0791, -6.0052], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [1.9826, -3.0791, -6.0052], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.9826, -3.0791, -6.0052], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.8576, -3.0791, -5.7887], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.7326, -3.0791, -5.5722], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.6076, -3.0791, -5.3557], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.4826, -3.0791, -5.1391], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.4860, -3.0791, -4.9226], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [1.4860, -3.0791, -4.8553], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.7025, -3.0791, -4.8553], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.9191, -3.0791, -4.7303], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.1356, -3.0791, -4.6053], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.3521, -3.0791, -4.4803], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.5663, -3.0791, -4.3518], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.7828, -3.0791, -4.2268], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.9993, -3.0791, -4.1018], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [3.2158, -3.0791, -3.9768], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [3.4323, -3.0485, -3.8518], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [3.6488, -3.0207, -3.7268], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [3.8653, -3.0001, -3.6018], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.0818, -2.9801, -3.4769], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.2984, -2.9603, -3.3519], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.5149, -2.9267, -3.2269], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.7314, -2.8842, -3.1019], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.9479, -2.8791, -2.9769], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [4.9479, -2.8791, -2.9769], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [5.0729, -2.8791, -2.7604], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [5.0729, -2.8791, -2.7604], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [5.2894, -2.8791, -2.6354], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [5.5059, -2.8791, -2.5104], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [5.7224, -2.8791, -2.3854], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [5.9390, -2.8791, -2.2604], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.1555, -2.8791, -2.1355], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.3720, -2.8791, -2.0105], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.5885, -2.8791, -1.8855], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.8050, -2.8791, -1.7605], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.0215, -2.8791, -1.6355], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.2380, -2.8791, -1.5105], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.4545, -2.8791, -1.3855], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.6711, -2.8791, -1.2605], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.8876, -2.8791, -1.1355], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1041, -2.8791, -1.0106], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.3206, -2.8791, -0.8856], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.5371, -2.8791, -0.7606], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.7536, -2.8791, -0.6356], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.9701, -2.8791, -0.5106], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.1866, -2.8791, -0.3856], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.4032, -2.8791, -0.2606], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.6197, -2.8791, -0.1356], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.8362, -2.8791, -0.0106], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [10.0527, -2.8791, 0.1144], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [10.2692, -2.8791, 0.2393], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [10.2692, -2.8791, 0.2393], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [10.2692, -2.8791, 0.2393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2692, -2.8791, 0.4893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2692, -2.8791, 0.7393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2692, -2.8791, 0.9893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2693, -2.8791, 1.2393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2693, -2.8791, 1.4893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2693, -2.8791, 1.7393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2693, -2.8791, 1.9893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2693, -2.8791, 2.2393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2693, -2.8791, 2.4893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2693, -2.8791, 2.7393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2693, -2.8791, 2.9893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2694, -2.8791, 3.2393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2694, -2.8791, 3.4893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2694, -2.8791, 3.7393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2694, -2.8791, 3.9893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2603, -2.8791, 4.1875], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.2175, -2.8791, 4.1951], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [10.1747, -2.8791, 4.2026], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [10.1747, -2.8791, 4.2026], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [10.0164, -2.8791, 4.2306], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [9.8870, -2.8791, 4.4483], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [9.7620, -2.8791, 4.6648], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [9.6370, -2.8791, 4.8813], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [9.6370, -2.8791, 4.8813], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.6370, -2.8791, 5.1313], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.6370, -2.8791, 5.3813], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [9.6370, -2.8791, 5.3813], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [9.6370, -2.8791, 5.3813], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [9.6370, -2.8791, 5.3813], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
