START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [4.9650, -2.8791, -0.0395], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [4.9650, -2.8791, -0.0395], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [5.0900, -2.8791, -0.2560], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [5.2150, -2.8791, -0.4725], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [5.3400, -2.8791, -0.6890], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [5.4650, -2.8791, -0.9055], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [5.5899, -2.8791, -1.1221], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [5.7149, -2.8791, -1.3386], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [5.8399, -2.8791, -1.5551], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [5.9649, -2.8791, -1.7716], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [6.0899, -2.8791, -1.9881], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [6.2149, -2.8791, -2.2046], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [6.2149, -2.8791, -2.2046], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [6.4314, -2.8791, -2.3296], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [6.6479, -2.8791, -2.4546], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [6.6479, -2.8791, -2.4546], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [6.6479, -2.8791, -2.4546], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [6.8644, -2.8791, -2.5796], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [7.0809, -2.8791, -2.7047], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [7.0809, -2.8791, -2.7047], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [7.2059, -2.8791, -2.9212], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [7.3309, -2.8791, -3.1377], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [7.4559, -2.8791, -3.3542], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [7.5808, -2.8791, -3.5707], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [7.5808, -2.8791, -3.5707], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.5808, -2.8791, -3.8207], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.5808, -2.8791, -4.0707], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.5808, -2.8791, -4.3207], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
stop, Pos: [7.5808, -2.8791, -4.3207], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
