START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.9940, -0.5426, -4.0200], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [23.9940, -0.5426, -4.0200], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [23.7775, -0.5426, -3.8950], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [23.5610, -0.5426, -3.7700], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [23.3445, -0.5426, -3.6450], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [23.3445, -0.5426, -3.6450], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [23.2195, -0.5426, -3.4284], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [23.0945, -0.5426, -3.2119], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [22.9695, -0.5426, -2.9954], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [22.9695, -0.5426, -2.9954], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [22.9695, -0.5426, -2.9954], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [22.9695, -0.5426, -2.9954], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [23.1860, -0.5426, -2.8704], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [23.4026, -0.5426, -2.7454], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [23.6191, -0.5426, -2.6204], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [23.8400, -0.5426, -2.4976], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.0565, -0.5426, -2.3727], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.2730, -0.5426, -2.2477], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.4895, -0.5426, -2.1227], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.7060, -0.5411, -1.9977], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.9225, -0.5394, -1.8727], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.1390, -0.5377, -1.7477], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.3555, -0.5360, -1.6227], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.5721, -0.5343, -1.4977], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.7886, -0.5325, -1.3727], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.0051, -0.5308, -1.2478], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.2216, -0.5291, -1.1228], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.4381, -0.5274, -0.9978], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.6546, -0.5257, -0.8728], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.8711, -0.5240, -0.7478], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [27.0876, -0.5222, -0.6228], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [27.3042, -0.5205, -0.4978], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [27.5207, -0.5188, -0.3728], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [27.5207, -0.5188, -0.3728], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [27.6457, -0.5030, -0.1563], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [27.7707, -0.4872, 0.0602], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [27.8957, -0.4714, 0.2767], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [28.0207, -0.4556, 0.4932], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [28.1457, -0.4398, 0.7097], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [28.2707, -0.4584, 0.9262], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [28.3958, -0.4768, 1.1427], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
stop, Pos: [28.3958, -0.4768, 1.1427], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
