START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [24.2440, -0.5426, -3.7700], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [24.2440, -0.5426, -3.5200], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [24.2440, -0.5426, -3.2700], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [24.2440, -0.5426, -3.2700], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [24.3690, -0.5426, -3.0535], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [24.4941, -0.5426, -2.8370], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [24.6191, -0.5426, -2.6205], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [24.7441, -0.5426, -2.4040], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [24.8691, -0.5426, -2.1875], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [24.9941, -0.5426, -1.9710], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [25.1191, -0.5374, -1.7545], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [25.2441, -0.5216, -1.5380], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [25.3691, -0.5058, -1.3215], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [25.4941, -0.4900, -1.1050], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [25.6192, -0.4742, -0.8885], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [25.6192, -0.4742, -0.8885], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [25.6192, -0.4742, -0.8885], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [25.6192, -0.4742, -0.8885], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [25.6192, -0.4742, -0.8885], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [25.3692, -0.4623, -0.8885], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [25.1192, -0.5046, -0.8885], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.8692, -0.5426, -0.8885], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.6192, -0.5426, -0.8884], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.3692, -0.5426, -0.8884], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.1192, -0.5426, -0.8884], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.8692, -0.5426, -0.8884], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.6260, -0.5426, -0.9021], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.5750, -0.5426, -0.9276], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.5750, -0.5426, -0.9276], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.5750, -0.5426, -0.9276], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.5750, -0.5426, -0.9276], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
