START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [24.2440, -0.5426, -4.2700], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [24.2440, -0.5426, -4.2700], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [24.1190, -0.5426, -4.4865], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [23.9940, -0.5426, -4.7030], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [23.8690, -0.5426, -4.9195], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [23.7439, -0.5426, -5.1360], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [23.6189, -0.5426, -5.3525], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [23.4939, -0.5426, -5.5690], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [23.3689, -0.5426, -5.7855], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [23.3689, -0.5426, -5.7855], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [23.1524, -0.5426, -5.9105], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [22.9359, -0.5426, -6.0355], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [22.7194, -0.5426, -6.1605], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [22.5029, -0.5426, -6.2855], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [22.2863, -0.5426, -6.4104], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [22.0698, -0.5426, -6.5354], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [22.0698, -0.5426, -6.5354], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.8198, -0.5426, -6.5354], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.5698, -0.5426, -6.5354], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.3198, -0.5426, -6.5354], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.0698, -0.5426, -6.5354], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.8198, -0.5426, -6.5354], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.5698, -0.5426, -6.5354], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.3198, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.0698, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.8198, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.5698, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.3198, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.0698, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.8198, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.5698, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.3198, -0.5426, -6.5353], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.0698, -0.4775, -6.5352], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [17.8198, -0.3426, -6.5352], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [17.5698, -0.3426, -6.5352], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [17.3198, -0.3426, -6.5352], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [17.0698, -0.3426, -6.5352], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.8198, -0.3426, -6.5352], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.5698, -0.3426, -6.5352], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.3198, -0.3426, -6.5352], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.0698, -0.3426, -6.5351], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.8198, -0.3426, -6.5351], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.5698, -0.3426, -6.5351], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.3198, -0.3157, -6.5351], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.0698, -0.2887, -6.5351], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [15.0698, -0.2887, -6.5351], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [14.8533, -0.2671, -6.4101], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [14.8533, -0.2671, -6.4101], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [14.6033, -0.2402, -6.4101], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [14.6033, -0.2402, -6.4101], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [14.3868, -0.2185, -6.2851], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [14.1703, -0.1969, -6.1600], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [13.9538, -0.1752, -6.0350], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
stop, Pos: [13.9538, -0.1752, -6.0350], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
