START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [24.4605, -0.5426, -4.1450], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [24.6770, -0.5426, -4.2700], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [24.6770, -0.5426, -4.2700], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [24.8020, -0.5426, -4.4865], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [24.9270, -0.5426, -4.7030], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.0520, -0.5426, -4.9196], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.1770, -0.5426, -5.1361], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.3019, -0.5426, -5.3526], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.4269, -0.5426, -5.5691], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.5519, -0.5426, -5.7856], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.6769, -0.5426, -6.0021], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.8019, -0.5426, -6.2186], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.9269, -0.5426, -6.4351], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [26.0519, -0.5426, -6.6517], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [26.1769, -0.5426, -6.8682], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [26.3018, -0.5426, -7.0847], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [26.4268, -0.5426, -7.3012], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [26.5518, -0.5426, -7.5177], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [26.5518, -0.5426, -7.5177], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [26.5518, -0.5426, -7.5177], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [26.5518, -0.5426, -7.5177], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [26.5518, -0.5426, -7.5177], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [26.5518, -0.5426, -7.5177], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [26.3353, -0.5426, -7.3927], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [26.1188, -0.5426, -7.2677], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.9023, -0.5426, -7.1427], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.6858, -0.5426, -7.0177], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.4693, -0.5426, -6.8927], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.2528, -0.5426, -6.7676], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.0363, -0.5426, -6.6426], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.8198, -0.5426, -6.5176], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
