START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.9940, -0.5426, -4.0200], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.7440, -0.5426, -4.0200], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.4940, -0.5426, -4.0200], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.2440, -0.5426, -4.0200], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.9940, -0.5426, -4.0199], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.7440, -0.5426, -4.0199], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.4940, -0.5426, -4.0199], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.2440, -0.5426, -4.0199], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.9940, -0.5426, -4.0199], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.7440, -0.5426, -4.0199], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.4940, -0.5426, -4.0199], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.2440, -0.5426, -4.0199], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.1134, -0.5426, -4.1392], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.8878, -0.5426, -4.2287], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.6551, -0.5426, -4.2921], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [20.5250, -0.5426, -4.3276], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
