START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [24.3690, -0.5426, -4.2365], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [24.4940, -0.5426, -4.4530], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [24.6190, -0.5426, -4.6695], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [24.7440, -0.5426, -4.8861], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [24.8689, -0.5426, -5.1026], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [24.9939, -0.5426, -5.3191], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [25.1189, -0.5426, -5.5356], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [25.2439, -0.5426, -5.7521], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [25.3689, -0.5426, -5.9686], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [25.4939, -0.5426, -6.1851], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [25.6189, -0.5426, -6.4016], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [25.7439, -0.5426, -6.6182], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [25.8689, -0.5426, -6.8347], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [25.9938, -0.5426, -7.0512], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [26.1188, -0.5426, -7.2677], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [26.2438, -0.5426, -7.4842], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [26.3688, -0.5426, -7.7007], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [26.4938, -0.5426, -7.9172], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [26.6188, -0.5426, -8.1337], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [26.7438, -0.5426, -8.3503], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [26.8688, -0.5426, -8.5668], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [26.9937, -0.5426, -8.7833], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [27.1187, -0.5426, -8.9998], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [27.2437, -0.5426, -9.1776], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
stop, Pos: [27.2437, -0.5426, -9.1776], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
