START | Pos: [-0.7925, 0.1626, 1.5652] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.6675, 0.1626, 1.3487], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.5425, 0.1626, 1.1322], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-0.5425, 0.1626, 1.1322], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.5425, 0.1626, 0.8822], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-0.5425, 0.1626, 0.8822], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.4175, 0.1626, 0.6657], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-0.4175, 0.1626, 0.6657], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4176, 0.1626, 0.4157], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-0.4176, 0.1626, 0.4157], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.2926, 0.1626, 0.1991], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.1676, 0.1626, -0.0174], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-0.1676, 0.1626, -0.0174], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-0.1676, 0.1626, -0.0174], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-0.1676, 0.1626, -0.0174], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-0.1676, 0.1626, -0.0174], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-0.1676, 0.1626, -0.0174], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-0.1676, 0.1626, -0.0174], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-0.1676, 0.1626, -0.0174], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.1676, 0.1626, 0.2326], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-0.1676, 0.1626, 0.2326], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-0.2926, 0.1626, 0.4492], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-0.2926, 0.1626, 0.4492], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2925, 0.1626, 0.6992], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2925, 0.1626, 0.9492], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2925, 0.1626, 1.1992], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2925, 0.1626, 1.4492], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2925, 0.1626, 1.6992], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2925, 0.1626, 1.9492], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2925, 0.1626, 2.1992], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2925, 0.1626, 2.4492], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2924, 0.1626, 2.6992], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2806, 0.1626, 2.9407], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2724, 0.1626, 3.1907], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2724, 0.1626, 3.4407], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2724, 0.1626, 3.6907], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2724, 0.1626, 3.9407], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2724, 0.1626, 4.1907], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-0.2724, 0.1626, 4.4407], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
