START | Pos: [-0.7925, 0.1626, 1.5652] | Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-0.9175, 0.1626, 1.7817], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-0.9175, 0.1626, 1.7817], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.1340, 0.1626, 1.9067], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.3505, 0.1626, 2.0317], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.5670, 0.1626, 2.1567], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.7835, 0.1626, 2.2818], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.0000, 0.1626, 2.4068], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.2165, 0.1626, 2.5318], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.4330, 0.1626, 2.6568], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.6495, 0.1626, 2.7818], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.8660, 0.1626, 2.9068], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-3.0825, 0.1626, 3.0318], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-3.0825, 0.1626, 3.0318], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-3.2075, 0.1626, 3.2483], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-3.3224, 0.1626, 3.4648], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-3.3224, 0.1626, 3.4648], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-3.3224, 0.1626, 3.4648], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-3.1974, 0.1626, 3.5022], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-3.0005, 0.1626, 3.6648], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-3.0005, 0.1626, 3.6648], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.9724, 0.1626, 3.9148], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.9724, 0.1626, 4.1648], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.9724, 0.1626, 4.4148], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.9724, 0.1626, 4.6648], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.9724, 0.1626, 4.6648], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-2.9724, 0.1626, 4.6648], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-2.9724, 0.1626, 4.6648], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.7224, 0.1626, 4.6648], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [-2.7224, 0.1626, 4.6648], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
