START | Pos: [-0.7925, 0.1626, 1.5652] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.0090, 0.1626, 1.6902], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.2255, 0.1626, 1.8152], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.4420, 0.1626, 1.9402], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-1.4420, 0.1626, 1.9402], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.5670, 0.1626, 2.1567], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.7224, 0.1626, 2.3733], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.8474, 0.1626, 2.5898], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.9724, 0.1626, 2.8063], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-2.0974, 0.1626, 3.0228], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-2.2224, 0.1626, 3.2393], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-2.2224, 0.1626, 3.2393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.2224, 0.1626, 3.4893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.2224, 0.1626, 3.7393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.2223, 0.1626, 3.9893], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-2.2223, 0.1626, 4.2393], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.2223, 0.1626, 4.2393], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-2.0973, 0.1626, 4.4558], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-2.0973, 0.1626, 4.4558], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.8808, 0.1626, 4.5808], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-1.8808, 0.1626, 4.5808], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-1.8808, 0.1626, 4.5808], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-1.8808, 0.1626, 4.5808], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-1.8724, 0.1626, 4.3643], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
stop, Pos: [-1.8724, 0.1626, 4.3643], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
