START | Pos: [-0.7925, 0.1626, 1.5652] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-1.0090, 0.1626, 1.6902], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-1.2255, 0.1626, 1.8152], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-1.4420, 0.1626, 1.9402], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-1.4420, 0.1626, 1.9402], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.5670, 0.1626, 2.1567], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.7224, 0.1626, 2.3733], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.8474, 0.1626, 2.5898], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.9724, 0.1626, 2.8063], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.0974, 0.1626, 3.0228], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.2224, 0.1626, 3.2393], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.3474, 0.1626, 3.4558], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.4724, 0.1626, 3.6723], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.5974, 0.1626, 3.8888], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.7223, 0.1626, 4.1054], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.8473, 0.1626, 4.3219], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-2.8473, 0.1626, 4.3219], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-2.8473, 0.1626, 4.3219], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-2.8473, 0.1626, 4.3219], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.6308, 0.1626, 4.4469], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-2.6308, 0.1626, 4.4469], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-2.6308, 0.1626, 4.4469], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-2.6308, 0.1626, 4.4469], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.5058, 0.1626, 4.2303], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.3808, 0.1626, 4.0138], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.2558, 0.1626, 3.7973], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.1309, 0.1626, 3.5808], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-2.1309, 0.1626, 3.5808], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.1309, 0.1626, 3.3308], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.1309, 0.1626, 3.0808], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.1309, 0.1626, 2.8308], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-2.1309, 0.1626, 2.5808], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-2.1309, 0.1626, 2.5808], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-2.1309, 0.1626, 2.5808], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.9144, 0.1626, 2.4558], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.7224, 0.1626, 2.3308], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.7224, 0.1626, 2.2058], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.5059, 0.1626, 2.0808], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.2894, 0.1626, 1.9558], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-1.2894, 0.1626, 1.9558], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.1644, 0.1626, 1.7392], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.0394, 0.1626, 1.5227], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.9145, 0.1626, 1.3062], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.7895, 0.1626, 1.0897], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.6645, 0.1626, 0.8732], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.5395, 0.1626, 0.6567], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.4145, 0.1626, 0.4402], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.2895, 0.1626, 0.2237], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.1645, 0.1626, 0.0071], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.0395, 0.1626, -0.2094], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [0.0855, 0.1626, -0.4259], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [0.2104, 0.1626, -0.5478], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [0.2104, 0.1626, -0.5478], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [0.2104, 0.1626, -0.5478], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.4604, 0.1626, -0.5478], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.5276, 0.1626, -0.5478], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [0.5276, 0.1626, -0.5478], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [0.5276, 0.1626, -0.5478], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [0.5276, 0.1626, -0.5478], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.4814, 0.1626, -0.3670], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [0.4814, 0.1626, -0.3670], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [0.4814, 0.1626, -0.3670], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [0.2649, 0.1626, -0.2420], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [0.0484, 0.1626, -0.1170], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-0.1681, 0.1626, 0.0080], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
