START | Pos: [-0.7925, 0.1626, 1.5652] | Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-0.7925, 0.1626, 1.5652], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.6675, 0.1626, 1.7817], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.5425, 0.1626, 1.9982], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.4175, 0.1626, 2.2147], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.2925, 0.1626, 2.4312], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-0.2925, 0.1626, 2.4312], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2924, 0.1626, 2.6812], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-0.2924, 0.1626, 2.6812], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.1674, 0.1626, 2.8977], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-0.1674, 0.1626, 2.8977], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-0.1674, 0.1626, 2.8977], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.2724, 0.1626, 3.1142], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-0.2724, 0.1626, 3.1142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2724, 0.1626, 3.3642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2724, 0.1626, 3.6142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2724, 0.1626, 3.8642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2724, 0.1626, 4.1142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2724, 0.1626, 4.3642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2724, 0.1626, 4.6142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2723, 0.1626, 4.8642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2723, 0.1626, 5.1142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2723, 0.1626, 5.3642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2723, 0.1626, 5.6142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2723, 0.1626, 5.8642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2723, 0.1626, 6.1142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2723, 0.1626, 6.3642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2723, 0.1626, 6.6142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2722, 0.1626, 6.8642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2722, 0.1626, 7.1142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2722, 0.1626, 7.3642], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2722, 0.1626, 7.6142], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-0.2722, 0.1626, 7.6142], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.3972, 0.1626, 7.8307], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-0.3972, 0.1626, 7.8307], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.3972, 0.1626, 8.0807], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.3972, 0.1626, 8.3307], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-0.3972, 0.1626, 8.3307], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-0.3972, 0.1626, 8.3307], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-0.1807, 0.1626, 8.4557], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-0.1807, 0.1626, 8.4557], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.0556, 0.1626, 8.6722], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [0.0694, 0.1626, 8.8887], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.1806, 0.1626, 8.8887], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-0.1806, 0.1626, 8.8887], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.3971, 0.1626, 8.7637], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.6137, 0.1626, 8.6387], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-0.6137, 0.1626, 8.6387], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-0.6137, 0.1626, 8.6387], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-0.6137, 0.1626, 8.6387], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.4887, 0.1626, 8.4222], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-0.4887, 0.1626, 8.4222], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4887, 0.1626, 8.1722], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4887, 0.1626, 7.9222], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4887, 0.1626, 7.6722], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4887, 0.1626, 7.4222], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4887, 0.1626, 7.1722], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4887, 0.1626, 6.9222], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4888, 0.1626, 6.6722], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4888, 0.1626, 6.4222], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4888, 0.1626, 6.1722], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.4888, 0.1626, 5.9222], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
