START | Pos: [16.23714, 0.10155, -4.64377] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.9871, 0.1016, -4.6438], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.7371, 0.1016, -4.6437], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.4871, 0.1016, -4.6437], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.2371, 0.1016, -4.6437], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [14.9871, 0.1016, -4.6437], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [14.9871, 0.1016, -4.6437], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [14.7706, 0.1016, -4.5187], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [14.5541, 0.1016, -4.3937], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [14.3376, 0.1016, -4.2687], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [14.1211, 0.1016, -4.1437], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [13.9046, 0.1016, -4.0187], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [13.6881, 0.1016, -3.8936], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [13.4716, 0.1016, -3.7686], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [13.2551, 0.1016, -3.6436], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [13.0386, 0.1016, -3.5186], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [12.8221, 0.1016, -3.3936], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [12.6056, 0.1016, -3.2686], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [12.3891, 0.1016, -3.1436], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [12.1726, 0.1016, -3.0186], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [11.9561, 0.1016, -2.8936], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [11.7396, 0.1016, -2.7685], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [11.7396, 0.1016, -2.7685], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [11.4896, 0.1016, -2.7685], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [11.2396, 0.1016, -2.7685], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [10.9896, 0.1016, -2.7685], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [10.7396, 0.1016, -2.7685], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [10.4896, 0.1016, -2.7685], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [10.2396, 0.1016, -2.7685], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [9.9896, 0.1016, -2.7685], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [9.7396, 0.1016, -2.7684], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [9.4896, 0.1016, -2.7684], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [9.2396, 0.1016, -2.7684], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.9896, 0.1016, -2.7684], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.7396, 0.1016, -2.7684], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.4896, 0.1016, -2.7684], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.2396, 0.1016, -2.7684], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
