START | Pos: [16.23714, 0.10155, -4.64377] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.4871, 0.1016, -4.6438], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.7371, 0.1016, -4.6438], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.9871, 0.1016, -4.6438], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [17.2371, 0.1016, -4.6438], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [17.4871, 0.1016, -4.6438], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [17.7371, 0.1016, -4.6438], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [17.9871, 0.1016, -4.6439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.2371, 0.1016, -4.6439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.4871, 0.1016, -4.6439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.7371, 0.1016, -4.6439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.9871, 0.1016, -4.6439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [19.2371, 0.1016, -4.6439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [19.4871, 0.1016, -4.6439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [19.7371, 0.1016, -4.6439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [19.9871, 0.1016, -4.6440], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [20.2371, 0.1016, -4.6440], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [20.2371, 0.1016, -4.6440], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [20.4536, 0.1016, -4.7690], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [20.6701, 0.1016, -4.8940], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [20.8866, 0.1016, -5.0190], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [21.1031, 0.1016, -5.1440], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [21.3196, 0.1016, -5.2690], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [21.5361, 0.1016, -5.3940], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [21.7526, 0.1016, -5.5190], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [21.9691, 0.1016, -5.6441], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [22.1856, 0.1016, -5.7691], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [22.4021, 0.1016, -5.8941], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [22.6186, 0.1016, -6.0191], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [22.6186, 0.1016, -6.0191], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [22.8686, 0.1016, -6.0191], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [23.1186, 0.1016, -6.0191], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [23.3686, 0.1016, -6.0191], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [23.6186, 0.1016, -6.0191], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [23.8686, 0.1016, -6.0192], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [24.1186, 0.1016, -6.0192], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [24.3686, 0.1016, -6.0192], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [24.6186, 0.1016, -6.0192], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [24.8686, 0.1016, -6.0192], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [25.1186, 0.1016, -6.0192], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [25.3686, 0.1016, -6.0192], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [25.6186, 0.1016, -6.0192], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [25.8686, 0.1016, -6.0193], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [26.1186, 0.1016, -6.0193], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [26.3686, 0.1016, -6.0193], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [26.6186, 0.1016, -6.0193], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [26.8686, 0.1016, -6.0193], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [27.1186, 0.1016, -6.0193], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
