START | Pos: [16.23714, 0.10155, -4.64377] | Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [16.0206, 0.1016, -4.7688], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.8041, 0.1016, -4.8937], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.5876, 0.1016, -5.0187], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.3711, 0.1016, -5.1437], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.1546, 0.1016, -5.2687], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.9381, 0.1016, -5.3937], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.7216, 0.1016, -5.5187], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.5050, 0.1016, -5.6437], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [14.5050, 0.1016, -5.6437], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [14.5050, 0.1016, -5.6437], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [14.5050, 0.1016, -5.6437], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [14.5050, 0.1016, -5.6437], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [14.5051, 0.1016, -5.3937], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [14.5051, 0.1016, -5.1437], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [14.5051, 0.1016, -4.8937], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [14.5051, 0.1016, -4.6437], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [14.5051, 0.1016, -4.3937], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [14.5051, 0.1016, -4.1437], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [14.5051, 0.1016, -3.8937], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [14.5051, 0.1016, -3.6437], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
