START | Pos: [16.23714, 0.10155, -4.64377] | Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [16.4537, 0.1016, -4.5188], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [16.4537, 0.1016, -4.5188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [16.7037, 0.1016, -4.5188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [16.9537, 0.1016, -4.5188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [17.2037, 0.1016, -4.5188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [17.4537, 0.1016, -4.5188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [17.7037, 0.1016, -4.5188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [17.9537, 0.1016, -4.5189], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.2037, 0.1016, -4.5189], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.4537, 0.1016, -4.5189], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.7037, 0.1016, -4.5189], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.9537, 0.1016, -4.5189], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.2037, 0.1016, -4.5189], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.4537, 0.1016, -4.5189], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.7037, 0.1016, -4.5189], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [19.7037, 0.1016, -4.5189], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [19.9202, 0.1016, -4.6440], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [20.1367, 0.1016, -4.7690], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [20.3532, 0.1016, -4.8940], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [20.5697, 0.1016, -5.0190], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [20.7861, 0.1016, -5.1440], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [21.0026, 0.1016, -5.2690], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [21.2191, 0.1016, -5.3940], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [21.4356, 0.1016, -5.5190], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [21.6521, 0.1016, -5.6440], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [21.8686, 0.1016, -5.7691], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [22.0851, 0.1016, -5.8941], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [22.3016, 0.1016, -6.0191], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [22.5181, 0.1016, -6.1441], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [22.5181, 0.1016, -6.1441], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.7681, 0.1016, -6.1441], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.0181, 0.1016, -6.1441], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.2681, 0.1016, -6.1441], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.5181, 0.1016, -6.1441], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.7681, 0.1016, -6.1441], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.0181, 0.1016, -6.1442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.2681, 0.1016, -6.1442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.5181, 0.1016, -6.1442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.7681, 0.1016, -6.1442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.0181, 0.1016, -6.1442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.2681, 0.1016, -6.1442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.5181, 0.1016, -6.1442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
