START | Pos: [16.23714, 0.10155, -4.64377] | Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [16.0206, 0.1016, -4.7688], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.8041, 0.1016, -4.8937], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.5876, 0.1016, -5.0187], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.3711, 0.1016, -5.1437], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.1546, 0.1016, -5.2687], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.9381, 0.1016, -5.3937], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [14.9381, 0.1016, -5.3937], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [14.9381, 0.1016, -5.3937], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [14.9381, 0.1016, -5.3937], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [14.9381, 0.1016, -5.3937], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [14.9381, 0.1016, -5.3937], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.1881, 0.1016, -5.3937], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.4381, 0.1016, -5.3937], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.6881, 0.1016, -5.3937], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.9381, 0.1016, -5.3938], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.1881, 0.1016, -5.3938], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.4381, 0.1016, -5.3938], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.6881, 0.1016, -5.3938], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.9381, 0.1016, -5.3938], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [17.1881, 0.1016, -5.3938], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [17.4381, 0.1016, -5.3938], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [17.6881, 0.1016, -5.3938], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [17.9381, 0.1016, -5.3939], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.1881, 0.1016, -5.3939], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.4381, 0.1016, -5.3939], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.6881, 0.1016, -5.3939], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.9381, 0.1016, -5.3939], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [19.1881, 0.1016, -5.3939], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [19.4381, 0.1016, -5.3939], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [19.6881, 0.1016, -5.3939], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [19.9381, 0.1016, -5.3940], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [20.1881, 0.1016, -5.3940], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [20.4381, 0.1016, -5.3940], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [20.6881, 0.1016, -5.3940], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [20.6881, 0.1016, -5.3940], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [20.9046, 0.1016, -5.5190], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [21.1211, 0.1016, -5.6440], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [21.1211, 0.1016, -5.6440], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [21.3711, 0.1016, -5.6440], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [21.6211, 0.1016, -5.6440], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [21.6211, 0.1016, -5.6440], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [21.8376, 0.1016, -5.7690], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [22.0541, 0.1016, -5.8941], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [22.0541, 0.1016, -5.8941], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [22.3041, 0.1016, -5.8941], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [22.5541, 0.1016, -5.8941], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [22.8041, 0.1016, -5.8941], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [23.0541, 0.1016, -5.8941], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [23.3041, 0.1016, -5.8941], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [23.5541, 0.1016, -5.8941], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [23.8041, 0.1016, -5.8941], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [24.0541, 0.1016, -5.8942], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [24.3041, 0.1016, -5.8942], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [24.5541, 0.1016, -5.8942], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [24.8041, 0.1016, -5.8942], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [25.0541, 0.1016, -5.8942], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [25.3041, 0.1016, -5.8942], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [25.5541, 0.1016, -5.8942], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [25.8041, 0.1016, -5.8942], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [26.0541, 0.1016, -5.8943], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [26.3041, 0.1016, -5.8943], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [26.5541, 0.1016, -5.8943], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [26.8041, 0.1016, -5.8943], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [27.0541, 0.1016, -5.8943], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [27.3041, 0.1016, -5.8943], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [27.5541, 0.1016, -5.8943], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [27.8041, 0.1016, -5.8943], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [28.0541, 0.1016, -5.8944], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [28.3041, 0.1016, -5.8944], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [28.5541, 0.1016, -5.8944], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [28.8041, 0.1016, -5.8944], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
