START | Pos: [16.23714, 0.10155, -4.64377] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [16.1122, 0.1016, -4.4273], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.9872, 0.1016, -4.2107], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.8622, 0.1016, -3.9942], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.7372, 0.1016, -3.7777], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.6122, 0.1016, -3.5612], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.4872, 0.1016, -3.3447], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.3622, 0.1016, -3.1282], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.2372, 0.1016, -2.9117], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.1122, 0.1016, -2.6952], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [14.9872, 0.1016, -2.4786], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [14.9872, 0.1016, -2.4786], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.9873, 0.1016, -2.2286], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.9873, 0.1016, -1.9786], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.9873, 0.1016, -1.7286], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.9873, 0.1016, -1.4786], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.9873, 0.1016, -1.2286], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.9873, 0.1016, -0.9786], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.9873, 0.1016, -0.7286], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.9873, 0.1016, -0.4786], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [14.9873, 0.1016, -0.4786], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [14.9873, 0.1016, -0.4786], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [14.9873, 0.1016, -0.4786], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [14.9873, 0.1016, -0.4786], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [14.9873, 0.1016, -0.4786], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [14.9873, 0.1016, -0.4786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9873, 0.1016, -0.7286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9873, 0.1016, -0.9786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9873, 0.1016, -1.2286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9873, 0.1016, -1.4786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9873, 0.1016, -1.7286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9873, 0.1016, -1.9786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9873, 0.1016, -2.2286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9872, 0.1016, -2.4786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9872, 0.1016, -2.7286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9872, 0.1016, -2.9786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9872, 0.1016, -3.2286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9872, 0.1016, -3.4786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9872, 0.1016, -3.7286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9872, 0.1016, -3.9786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9872, 0.1016, -4.2286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9871, 0.1016, -4.4786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9871, 0.1016, -4.7286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9871, 0.1016, -4.9786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9871, 0.1016, -5.2286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9871, 0.1016, -5.4786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9871, 0.1016, -5.7286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.9871, 0.1016, -5.9786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [14.9871, 0.1016, -5.9786], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.8621, 0.1016, -6.1951], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.7371, 0.1016, -6.4116], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [14.7371, 0.1016, -6.4116], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.7370, 0.1016, -6.6616], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.7370, 0.1016, -6.9116], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.7370, 0.1016, -7.1616], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [14.7370, 0.1016, -7.4116], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
stop, Pos: [14.7370, 0.1016, -7.4116], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
