START | Pos: [-2.3657, 2.9257, 3.65177] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.1157, 2.9258, 3.6518], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.8657, 2.9258, 3.6517], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.6157, 2.9258, 3.6517], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.3657, 2.9258, 3.6517], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.1157, 2.9258, 3.6517], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.8657, 2.9258, 3.6517], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.6157, 2.9258, 3.6517], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.3657, 2.9258, 3.6517], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.1157, 2.9258, 3.6517], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.1343, 2.9258, 3.6516], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.3843, 2.9258, 3.6516], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.6343, 2.9258, 3.6516], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.8843, 2.9258, 3.6516], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
stop, Pos: [0.8843, 2.9258, 3.6516], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
