START | Pos: [-2.3657, 2.9257, 3.65177] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.1492, 2.9258, 3.7768], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-2.1492, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.8992, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.6492, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.3992, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.1492, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.8992, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.6492, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.3992, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.1492, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.1008, 2.9258, 3.7766], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.3508, 2.9258, 3.7766], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.6008, 2.9258, 3.7766], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.8508, 2.9258, 3.7766], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [1.1008, 2.9258, 3.7766], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [1.1008, 2.9258, 3.7766], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [1.1008, 2.9258, 3.7766], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [1.2258, 2.9258, 3.5601], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [1.3508, 2.9258, 3.3436], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [1.3508, 2.9258, 3.3436], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [1.3508, 2.9258, 3.3436], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [1.3508, 2.9258, 3.3436], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [1.3508, 2.9258, 3.3436], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [1.3508, 2.9258, 3.3436], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [1.3508, 2.9258, 3.3436], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.2258, 2.9258, 3.5601], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [1.2258, 2.9258, 3.5601], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [1.2258, 2.9258, 3.5601], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [1.3508, 2.9258, 3.7766], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [1.4758, 2.9258, 3.9931], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [1.4758, 2.9258, 3.9931], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [1.6923, 2.9258, 4.1181], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [1.6923, 2.9258, 4.1181], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [1.8173, 2.9258, 4.3346], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [1.8173, 2.9258, 4.3346], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [1.8173, 2.9258, 4.3346], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [1.8173, 2.9258, 4.3346], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [1.8173, 2.9258, 4.3346], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [1.8173, 2.9258, 4.3346], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [1.8173, 2.9258, 4.3346], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.6923, 2.9258, 4.1181], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.5673, 2.9258, 3.9016], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.4423, 2.9258, 3.6851], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [1.4423, 2.9258, 3.6851], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [1.4423, 2.9258, 3.4351], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [1.4423, 2.9258, 3.1851], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [1.4423, 2.9258, 3.1851], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [1.4423, 2.9258, 3.1851], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [1.4423, 2.9258, 3.1851], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [1.4423, 2.9258, 3.1851], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [1.4423, 2.9258, 3.1851], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [1.4423, 2.9258, 3.1851], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [1.4423, 2.9258, 3.1851], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.3173, 2.9258, 3.4016], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.1923, 2.9258, 3.6181], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [1.1923, 2.9258, 3.6181], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [1.1923, 2.9258, 3.6181], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.9423, 2.9258, 3.6181], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.6923, 2.9258, 3.6181], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.4423, 2.9258, 3.6181], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.1923, 2.9258, 3.6182], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.0577, 2.9258, 3.6182], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.3077, 2.9258, 3.6182], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.5577, 2.9258, 3.6182], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.8077, 2.9258, 3.6182], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.0577, 2.9258, 3.6182], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-1.0577, 2.9258, 3.6182], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
