START | Pos: [-2.3657, 2.9257, 3.65177] | Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-2.5822, 2.9258, 3.7768], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-2.5822, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.8322, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-2.8322, 2.9258, 3.7768], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.0487, 2.9258, 3.9018], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.2652, 2.9258, 4.0268], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-3.2652, 2.9258, 4.0268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.5152, 2.9258, 4.0268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.7652, 2.9258, 4.0268], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.0152, 2.9258, 4.0269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.2652, 2.9258, 4.0269], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-4.2652, 2.9258, 4.0269], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.4817, 2.9258, 3.9019], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.6982, 2.9258, 3.7769], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.9147, 2.9258, 3.6519], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.1313, 2.9258, 3.5269], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.3478, 2.9258, 3.4019], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.5643, 2.9258, 3.2769], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.7808, 2.9258, 3.1519], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.9973, 2.9258, 3.0270], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.2138, 2.9258, 2.9020], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.4303, 2.9258, 2.7770], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.6468, 2.9258, 2.6520], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-6.6468, 2.9258, 2.6520], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-6.6468, 2.9258, 2.6520], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-6.6468, 2.9258, 2.6520], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-6.6468, 2.9258, 2.6520], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-6.4303, 2.9258, 2.5270], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-6.4303, 2.9258, 2.5270], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-6.4303, 2.9258, 2.5270], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-6.2138, 2.9258, 2.6520], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.9973, 2.9258, 2.7770], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.7808, 2.9258, 2.9019], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.5643, 2.9258, 3.0269], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.3478, 2.9258, 3.1519], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.1313, 2.9258, 3.2769], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.9148, 2.9258, 3.4019], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.6982, 2.9258, 3.5269], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.4817, 2.9258, 3.6519], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.2652, 2.9258, 3.7769], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.0487, 2.9258, 3.9019], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.8322, 2.9258, 4.0268], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.6157, 2.9258, 4.1518], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.3992, 2.9258, 4.2768], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-3.3992, 2.9258, 4.2768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-3.3992, 2.9258, 4.2768], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.1827, 2.9258, 4.1518], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-2.9662, 2.9258, 4.0268], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-2.9662, 2.9258, 4.0268], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.7162, 2.9258, 4.0268], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.4662, 2.9258, 4.0268], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.2162, 2.9258, 4.0268], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.9662, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.7162, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.4662, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.2162, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.9662, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.7162, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.4662, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.2162, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.0338, 2.9258, 4.0267], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.2838, 2.9258, 4.0266], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.5338, 2.9258, 4.0266], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.7838, 2.9258, 4.0266], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [0.7838, 2.9258, 4.0266], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.0003, 2.9258, 3.9016], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [1.0003, 2.9258, 3.9016], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.2503, 2.9258, 3.9016], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [1.2503, 2.9258, 3.9016], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.2503, 2.9258, 3.9016], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [1.2503, 2.9258, 3.9016], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [1.2503, 2.9258, 3.6516], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [1.2503, 2.9258, 3.6516], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [1.2503, 2.9258, 3.6516], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.4668, 2.9258, 3.5266], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.6633, 2.9258, 3.4038], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.6633, 2.9258, 3.4038], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [1.6633, 2.9258, 3.4038], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [1.6633, 2.9258, 3.4038], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [1.5383, 2.9258, 3.1873], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [1.5383, 2.9258, 3.1873], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [1.5383, 2.9258, 3.1873], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [1.5383, 2.9258, 3.1873], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [1.3218, 2.9258, 3.3123], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [1.3218, 2.9258, 3.3123], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.1968, 2.9258, 3.5288], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.0718, 2.9258, 3.7453], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [0.9468, 2.9258, 3.9618], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [0.8218, 2.9258, 4.1784], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [0.6968, 3.0159, 4.3949], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [0.6968, 3.0159, 4.3949], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6968, 3.1772, 4.6449], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6968, 3.3338, 4.8949], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6969, 3.4079, 5.1449], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6969, 3.4819, 5.3949], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [0.6969, 3.4819, 5.3949], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
stop, Pos: [0.6969, 3.4819, 5.3949], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
