START | Pos: [-2.3657, 2.9257, 3.65177] | Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.6157, 2.9258, 3.6518], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.8657, 2.9258, 3.6518], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-2.8657, 2.9258, 3.6518], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.0822, 2.9258, 3.7768], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-3.0822, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.3322, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.5822, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.8322, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.0822, 2.9258, 3.7769], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.3322, 2.9258, 3.7769], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-4.3322, 2.9258, 3.7769], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-4.3322, 2.9258, 3.7769], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-4.3322, 2.9258, 3.7769], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-4.3322, 2.9258, 3.7769], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-4.3322, 2.9258, 3.7769], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-4.3322, 2.9258, 3.7769], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.0822, 2.9258, 3.7769], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.8322, 2.9258, 3.7768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.5822, 2.9258, 3.7768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.3322, 2.9258, 3.7768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.0822, 2.9258, 3.7768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.8322, 2.9258, 3.7768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.5822, 2.9258, 3.7768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.3322, 2.9258, 3.7768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.0822, 2.9258, 3.7768], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.8322, 2.9258, 3.7767], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.5822, 2.9258, 3.7767], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.3322, 2.9258, 3.7767], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.0822, 2.9258, 3.7767], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.8322, 2.9258, 3.7767], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.5822, 2.9258, 3.7767], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.3322, 2.9258, 3.7767], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.0822, 2.9258, 3.7767], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.1678, 2.9258, 3.7766], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.4178, 2.9258, 3.7766], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.6678, 2.9258, 3.7766], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.9178, 2.9258, 3.7766], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.1678, 2.9258, 3.7766], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [1.1678, 2.9258, 3.7766], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.3843, 2.9258, 3.6516], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.3843, 2.9258, 3.6516], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [1.5093, 2.9258, 3.4351], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [1.5093, 2.9258, 3.4351], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [1.5093, 2.9258, 3.1851], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
