START | Pos: [-2.3657, 2.9257, 3.65177] | Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.6157, 2.9258, 3.6518], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.8657, 2.9258, 3.6518], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.1157, 2.9258, 3.6518], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.3657, 2.9258, 3.6518], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.6157, 2.9258, 3.6518], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.8657, 2.9258, 3.6518], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.1157, 2.9258, 3.6519], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.3657, 2.9258, 3.6519], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.6157, 2.9258, 3.6519], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.8657, 2.9258, 3.6519], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-5.1157, 2.9258, 3.6519], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-5.3657, 2.9258, 3.6519], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-5.6157, 2.9258, 3.6519], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-5.8657, 2.9258, 3.6519], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-6.1157, 2.9258, 3.6520], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-6.3657, 2.9258, 3.6520], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-6.6157, 2.9258, 3.6520], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-6.8657, 2.9258, 3.6520], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.1157, 2.9258, 3.6520], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.3657, 2.9258, 3.6520], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.6157, 2.9258, 3.6520], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.8657, 2.9258, 3.6520], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-7.8657, 2.9258, 3.6520], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-7.8657, 2.9258, 3.6520], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-7.8657, 2.9258, 3.6520], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-7.8657, 2.9258, 3.6520], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-7.7407, 2.9258, 3.4355], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-7.6157, 2.9258, 3.2190], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-7.4907, 2.9258, 3.0025], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-7.3657, 2.9258, 2.7860], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-7.2408, 2.9258, 2.5695], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-7.1158, 2.9258, 2.3530], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-6.9908, 2.9258, 2.1365], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-6.8658, 2.9258, 1.9199], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-6.7408, 2.9258, 1.7034], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-6.7408, 2.9258, 1.7034], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-6.7408, 2.9258, 1.7034], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-6.7408, 2.9258, 1.7034], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-6.7408, 2.9258, 1.7034], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.6149, 2.9258, 1.9195], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.4899, 2.9258, 2.1360], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.3649, 2.9258, 2.3525], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.2398, 2.9258, 2.5690], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.1148, 2.9258, 2.7855], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.9898, 2.9258, 3.0020], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.8648, 2.9258, 3.2185], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.7398, 2.9258, 3.4350], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.6148, 2.9258, 3.6515], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.4898, 2.9258, 3.6678], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.2750, 2.9258, 3.8124], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.1500, 2.9258, 4.0289], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.0250, 2.9258, 4.2454], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-4.9000, 2.9258, 4.4619], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-4.9000, 2.9258, 4.4619], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8999, 2.9258, 4.7119], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
