START | Pos: [6.018, -3.008, -6.1127] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [5.8930, -3.0084, -5.8962], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [5.7680, -3.0084, -5.6797], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [5.6430, -3.0084, -5.4632], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [5.6430, -3.0084, -5.4632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6430, -3.0084, -5.2132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6431, -3.0084, -4.9632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6431, -3.0084, -4.7132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6431, -3.0084, -4.4632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6431, -3.0084, -4.2132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6431, -3.0084, -3.9632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6431, -3.0084, -3.7132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6431, -3.0084, -3.4632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6431, -3.0084, -3.2132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6432, -3.0084, -2.9632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6432, -3.0084, -2.7132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6432, -3.0084, -2.4632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6432, -3.0084, -2.2132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6432, -3.0084, -1.9632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6432, -3.0084, -1.7132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6432, -3.0084, -1.4632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6432, -3.0084, -1.2132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6433, -3.0084, -0.9632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.6433, -3.0084, -0.7132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [5.6433, -3.0084, -0.7132], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [5.6433, -3.0084, -0.7132], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [5.4268, -3.0084, -0.5882], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [5.2103, -3.0084, -0.4631], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.9938, -3.0084, -0.3381], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.7773, -3.0084, -0.2131], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.5608, -3.0084, -0.0881], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.3443, -3.0084, 0.0369], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.1278, -3.0084, 0.1619], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [4.1278, -3.0084, 0.1619], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.8778, -3.0084, 0.1619], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.6278, -3.0084, 0.1619], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.3778, -3.0084, 0.1620], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.1278, -3.0084, 0.1620], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.8778, -3.0084, 0.1620], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.6278, -3.0084, 0.1620], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.3778, -3.0084, 0.1620], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.1278, -3.0084, 0.1620], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.8778, -3.0084, 0.1620], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
