START | Pos: [6.018, -3.008, -6.1127] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.2345, -3.0084, -5.9877], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.4510, -3.0084, -5.8627], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [6.4510, -3.0084, -5.8627], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [6.4510, -3.0084, -5.8627], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [6.6675, -3.0084, -5.9877], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [6.6675, -3.0084, -5.9877], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.9175, -3.0084, -5.9877], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [6.9175, -3.0084, -5.9877], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [6.9175, -3.0084, -5.9877], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [6.9175, -3.0084, -5.9877], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [6.9175, -3.0084, -5.7377], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [6.9175, -3.0084, -5.7377], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [6.9175, -3.0084, -5.7377], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [6.9175, -3.0084, -5.7377], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.6675, -3.0084, -5.7377], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.4552, -3.0084, -5.7879], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [6.2052, -3.0084, -5.7879], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.9552, -3.0084, -5.7879], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.7052, -3.0084, -5.7879], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [5.7052, -3.0084, -5.7879], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [5.4887, -3.0084, -5.9129], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [5.4887, -3.0084, -5.9129], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.2387, -3.0084, -5.9129], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.9887, -3.0084, -5.9129], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.7387, -3.0084, -5.9128], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.4887, -3.0084, -5.9128], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.2387, -3.0084, -5.9128], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [4.2387, -3.0084, -5.9128], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
