START | Pos: [6.018, -3.008, -6.1127] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.2680, -3.0084, -6.1127], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.5180, -3.0084, -6.1127], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.7680, -3.0084, -6.1127], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.0180, -3.0084, -6.1127], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.2680, -3.0084, -6.1128], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.5180, -3.0084, -6.1128], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.7680, -3.0084, -6.1128], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.0180, -3.0084, -6.1128], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.2680, -3.0084, -6.1128], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.5180, -3.0084, -6.1128], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.7680, -3.0084, -6.1128], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.0180, -3.0084, -6.1128], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [9.0180, -3.0084, -6.1128], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.2345, -3.0084, -5.9879], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [9.2345, -3.0084, -5.9879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.4845, -3.0084, -5.9879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [9.4845, -3.0084, -5.9879], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.7010, -3.0084, -5.8629], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.9175, -3.0084, -5.7379], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [9.9175, -3.0084, -5.7379], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [9.9175, -3.0084, -5.7379], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [9.9175, -3.0084, -5.7379], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [9.9175, -3.0084, -5.7379], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [9.9175, -3.0084, -5.7379], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [9.9175, -3.0084, -5.7379], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [9.9175, -3.0084, -5.7379], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.6675, -3.0084, -5.7379], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.4175, -3.0084, -5.7379], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.1675, -3.0084, -5.7379], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.9175, -3.0084, -5.7378], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.6675, -3.0084, -5.7378], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.4175, -3.0084, -5.7378], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.1675, -3.0084, -5.7378], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.9175, -3.0084, -5.7378], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.6675, -3.0084, -5.7378], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.4175, -3.0084, -5.7378], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.1675, -3.0084, -5.7378], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.9175, -3.0084, -5.7377], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [6.9175, -3.0084, -5.7377], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [6.7010, -3.0084, -5.8627], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [6.7010, -3.0084, -5.8627], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.4510, -3.0084, -5.8627], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.2010, -3.0084, -5.8627], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.9510, -3.0084, -5.8627], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.7010, -3.0084, -5.8627], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.4510, -3.0084, -5.8627], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.2010, -3.0084, -5.8627], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.9510, -3.0084, -5.8626], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.7010, -3.0084, -5.8626], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.4510, -3.0084, -5.8626], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.2010, -3.0084, -5.8626], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.9510, -3.0084, -5.8626], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.7010, -3.0084, -5.8626], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.4510, -3.0084, -5.8626], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.3194, -3.0084, -5.8626], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.3194, -3.0084, -5.8625], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
