START | Pos: [6.018, -3.008, -6.1127] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.2680, -3.0084, -6.1127], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.5180, -3.0084, -6.1127], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.7680, -3.0084, -6.1127], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.0180, -3.0084, -6.1127], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.2680, -3.0084, -6.1128], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.5180, -3.0084, -6.1128], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.7680, -3.0084, -6.1128], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.0180, -3.0084, -6.1128], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.2680, -3.0084, -6.1128], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [8.2680, -3.0084, -6.1128], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.4845, -3.0084, -5.9878], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [8.4845, -3.0084, -5.9878], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.7345, -3.0084, -5.9878], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.9845, -3.0084, -5.9878], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [8.9845, -3.0084, -5.9878], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.2010, -3.0084, -5.8629], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.4175, -3.0084, -5.7379], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.6341, -3.0084, -5.6129], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.8506, -3.0084, -5.4879], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.0671, -3.0084, -5.3629], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [10.0671, -3.0084, -5.3629], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.1921, -3.0084, -5.1464], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [10.1921, -3.0084, -5.1464], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [10.1921, -3.0084, -5.1464], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [10.1921, -3.0084, -5.1464], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [10.1921, -3.0084, -5.1464], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [10.1921, -3.0084, -5.1464], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [10.1921, -3.0084, -5.1464], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.0671, -3.0084, -5.3629], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [9.9421, -3.0084, -5.5794], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [9.9421, -3.0084, -5.5794], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [9.7256, -3.0084, -5.7044], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [9.5090, -3.0084, -5.8294], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [9.2925, -3.0084, -5.9544], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [9.2925, -3.0084, -5.9544], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.0425, -3.0084, -5.9544], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.7925, -3.0084, -5.9543], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.5425, -3.0084, -5.9543], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.2925, -3.0084, -5.9543], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
