START | Pos: [6.018, -3.008, -6.1127] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.7680, -3.0084, -6.1127], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.5180, -3.0084, -6.1127], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.2680, -3.0084, -6.1127], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.0180, -3.0084, -6.1127], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [5.0180, -3.0084, -6.1127], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.8015, -3.0084, -5.9876], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.5850, -3.0084, -5.8626], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [4.5850, -3.0084, -5.8626], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [4.4600, -3.0084, -5.6461], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [4.4600, -3.0084, -5.6461], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.4600, -3.0084, -5.6461], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.2100, -3.0084, -5.6461], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.2100, -3.0084, -5.6461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [4.2100, -3.0084, -5.6461], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.0850, -3.0084, -5.8626], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [3.9600, -3.0084, -6.0791], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
stop, Pos: [3.9600, -3.0084, -6.0791], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
