START | Pos: [6.018, -3.008, -6.1127] | Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [6.0180, -3.0084, -5.8627], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [6.0180, -3.0084, -5.8627], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [5.8930, -3.0084, -5.6462], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [5.7680, -3.0084, -5.4297], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [5.7680, -3.0084, -5.4297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7680, -3.0084, -5.1797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7681, -3.0084, -4.9297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7681, -3.0084, -4.6797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7681, -3.0084, -4.4297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7681, -3.0084, -4.1797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7681, -3.0084, -3.9297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7681, -3.0084, -3.6797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7681, -3.0084, -3.4297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7681, -3.0084, -3.1797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7682, -3.0084, -2.9297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7682, -3.0084, -2.6797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7682, -3.0084, -2.4297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7682, -3.0084, -2.1797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7682, -3.0084, -1.9297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7682, -3.0084, -1.6797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7682, -3.0084, -1.4297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7682, -3.0084, -1.1797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7683, -3.0084, -0.9297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7683, -3.0084, -0.6797], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [5.7683, -3.0084, -0.4297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
stop, Pos: [5.7683, -3.0084, -0.4297], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
