START | Pos: [-7.4862, 0.1396, 30.2147] | Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-7.4862, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.7362, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.9862, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.2362, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.4862, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.7362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.9862, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.2362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.4862, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.7362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.9862, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.2362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.4862, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.7362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.9862, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.2362, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.4862, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.7362, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.9862, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.2362, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.4862, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.7362, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.9862, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.2362, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.4862, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.7362, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.9862, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
