START | Pos: [-7.4862, 0.1396, 30.2147] | Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-7.4862, 0.1397, 30.2147], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-7.4862, 0.1397, 30.2147], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-7.4862, 0.1397, 30.2147], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-7.4862, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.7362, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.9862, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.2362, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.4862, 0.1397, 30.2147], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.7362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.9862, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.2362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.4862, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.7362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.9862, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.2362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.4862, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.7362, 0.1397, 30.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.9862, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.2362, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.4862, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.7362, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.9862, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.2362, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.4862, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.7362, 0.1397, 30.2149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.9862, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.2362, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.4862, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.7362, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.9862, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-14.2362, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-14.4862, 0.1397, 30.2150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4862, 0.1397, 30.2150], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4862, 0.1397, 30.2150], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.6112, 0.1397, 30.4315], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.7362, 0.1397, 30.6480], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.7362, 0.1397, 30.6480], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.7362, 0.1397, 30.8980], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.7362, 0.1397, 31.1480], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-14.7362, 0.1397, 31.1480], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.8611, 0.1397, 31.3646], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.9861, 0.1397, 31.5811], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.1111, 0.1397, 31.7976], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.2361, 0.1397, 32.0141], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
stop, Pos: [-15.2361, 0.1397, 32.0141], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
