START | Pos: [-7.4862, 0.1396, 30.2147] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-7.4862, 0.1397, 30.2147], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-7.7027, 0.1397, 30.3397], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-7.9192, 0.1397, 30.4647], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-8.1357, 0.1397, 30.5897], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-8.3522, 0.1397, 30.7147], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-8.5687, 0.1397, 30.8398], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-8.7852, 0.1397, 30.9648], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-9.0017, 0.1397, 31.0898], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-9.0017, 0.1397, 31.0898], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.2517, 0.1397, 31.0898], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.5017, 0.1397, 31.0898], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-9.5017, 0.1397, 31.0898], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-9.7182, 0.1397, 31.2148], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-9.7182, 0.1397, 31.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.9682, 0.1397, 31.2148], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-9.9682, 0.1397, 31.2148], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-10.1847, 0.1397, 31.3398], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-10.1847, 0.1397, 31.3398], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.4347, 0.1397, 31.3399], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-10.4347, 0.1397, 31.3399], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-10.6512, 0.1397, 31.4649], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-10.6512, 0.1397, 31.4649], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.9012, 0.1397, 31.4649], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-10.9012, 0.1397, 31.4649], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-11.1177, 0.1397, 31.5899], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-11.1177, 0.1397, 31.5899], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.3677, 0.1397, 31.5899], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-11.3677, 0.1397, 31.5899], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-11.5842, 0.1397, 31.7149], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-11.5842, 0.1397, 31.7149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.8342, 0.1397, 31.7149], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-11.8342, 0.1397, 31.7149], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-12.0507, 0.1397, 31.8399], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-12.0507, 0.1397, 31.8399], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.3007, 0.1397, 31.8400], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-12.5507, 0.1397, 31.8400], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-12.5507, 0.1397, 31.8400], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-12.7672, 0.1397, 31.7150], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-12.7672, 0.1397, 31.7150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.0172, 0.1397, 31.7150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.2672, 0.1397, 31.7150], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-13.2672, 0.1397, 31.7150], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-13.4837, 0.1397, 31.5900], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-13.4837, 0.1397, 31.5900], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-13.7337, 0.1397, 31.5900], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
