START | Pos: [-7.4862, 0.1396, 30.2147] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4862, 0.1397, 29.9647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4862, 0.1397, 29.7147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4862, 0.1397, 29.4647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4862, 0.1397, 29.2147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4863, 0.1397, 28.9647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4863, 0.1397, 28.7147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4863, 0.1397, 28.4647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4863, 0.1397, 28.2147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4863, 0.1397, 27.9647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4863, 0.1397, 27.7147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4863, 0.1397, 27.4647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4863, 0.1397, 27.2147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4864, 0.1397, 26.9647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4864, 0.1397, 26.7147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4864, 0.1397, 26.4647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4864, 0.1397, 26.2147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4864, 0.1397, 25.9647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4864, 0.1397, 25.7147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4864, 0.1397, 25.4647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4864, 0.1397, 25.2147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4865, 0.1397, 24.9647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4865, 0.1397, 24.7147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4865, 0.1397, 24.4647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4865, 0.1397, 24.2147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4865, 0.1397, 23.9647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4865, 0.1397, 23.7147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4865, 0.1397, 23.4647], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4865, 0.1397, 23.2147], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
