START | Pos: [25.5614, 0.0724, -7.2987] | Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [25.3114, 0.0724, -7.2987], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [25.0614, 0.0724, -7.2987], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.8114, 0.0724, -7.2987], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.5614, 0.0724, -7.2987], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.3114, 0.0724, -7.2986], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.0614, 0.0724, -7.2986], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.8114, 0.0724, -7.2986], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.5614, 0.0724, -7.2986], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.3114, 0.0724, -7.2986], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.0614, 0.0724, -7.2986], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [22.8114, 0.0724, -7.2986], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [22.5614, 0.0724, -7.2986], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [22.3114, 0.0724, -7.2985], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [22.0614, 0.0724, -7.2985], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [21.8114, 0.0724, -7.2985], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [21.5614, 0.0724, -7.2985], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [21.3114, 0.0724, -7.2985], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [21.0614, 0.0724, -7.2985], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [20.8114, 0.0724, -7.2985], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [20.5614, 0.0724, -7.2985], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [20.3114, 0.0724, -7.2984], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [20.0614, 0.0724, -7.2984], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [19.8114, 0.0724, -7.2984], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [19.5614, 0.0724, -7.2984], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [19.3114, 0.0724, -7.2984], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [19.3114, 0.0724, -7.2984], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [19.3114, 0.0724, -7.2984], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [19.3114, 0.0724, -7.2984], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [19.3114, 0.0724, -7.2984], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [19.3114, 0.0724, -7.2984], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [19.5279, 0.0724, -7.4234], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [19.7444, 0.0724, -7.5484], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [19.9609, 0.0724, -7.6734], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [20.1774, 0.0724, -7.7984], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [20.3939, 0.0724, -7.9234], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [20.6104, 0.0724, -8.0485], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [20.8269, 0.0724, -8.1735], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
