START | Pos: [25.5614, 0.0724, -7.2987] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [25.6864, 0.0724, -7.0822], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [25.8114, 0.0724, -6.8657], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [25.8114, 0.0724, -6.8657], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [25.8114, 0.0724, -6.8657], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [25.8114, 0.0724, -6.8657], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.5949, 0.0724, -6.7407], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.3784, 0.0724, -6.6157], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.1619, 0.0724, -6.4907], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.9454, 0.0724, -6.3657], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.7289, 0.0724, -6.2406], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.5124, 0.0724, -6.1156], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.2959, 0.0724, -5.9906], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.0794, 0.0724, -5.8656], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.8629, 0.0724, -5.7406], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.6464, 0.0724, -5.6156], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.4299, 0.0724, -5.4906], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.2134, 0.0724, -5.3656], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.9969, 0.0724, -5.2406], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.7804, 0.0724, -5.1156], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.5639, 0.0724, -4.9905], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.3474, 0.0724, -4.8655], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.1309, 0.0724, -4.7405], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.9144, 0.0724, -4.6155], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.6979, 0.0724, -4.4905], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.4814, 0.0724, -4.3655], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.2649, 0.0724, -4.2405], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.0484, 0.0724, -4.1155], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [20.8319, 0.0724, -3.9905], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [20.6154, 0.0724, -3.8654], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [20.3989, 0.0724, -3.7404], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [20.1824, 0.0724, -3.6154], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [19.9659, 0.0724, -3.4904], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [19.7494, 0.0724, -3.3654], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [19.5329, 0.0724, -3.2404], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [19.3164, 0.0724, -3.1154], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [19.0999, 0.0724, -2.9904], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [18.8834, 0.0724, -2.8654], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [18.6669, 0.0724, -2.7404], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
