START | Pos: [25.5614, 0.0724, -7.2987] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5614, 0.0724, -7.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5614, 0.0724, -6.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5614, 0.0724, -6.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5614, 0.0724, -6.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -6.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -5.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -5.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -5.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -5.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -4.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [25.5615, 0.0724, -4.7987], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [25.4365, 0.0724, -4.5822], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [25.3115, 0.0724, -4.3657], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [25.1865, 0.0724, -4.1492], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [25.0616, 0.0724, -3.9326], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.9366, 0.0724, -3.7161], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.8116, 0.0724, -3.4996], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.6866, 0.0724, -3.2831], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.5616, 0.0724, -3.0666], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.4366, 0.0724, -2.8501], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.3116, 0.0724, -2.6336], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.1866, 0.0724, -2.4171], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.0617, 0.0724, -2.2005], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [23.9367, 0.0724, -1.9840], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [23.8117, 0.0724, -1.7675], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [23.6867, 0.0724, -1.5510], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [23.5617, 0.0724, -1.3345], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [23.4367, 0.0724, -1.1180], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [23.3117, 0.0724, -0.9015], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [23.1867, 0.0724, -0.6850], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [23.0617, 0.0724, -0.4684], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [22.9368, 0.0724, -0.2519], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [22.8118, 0.0724, -0.0354], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
