START | Pos: [25.5614, 0.0724, -7.2987] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [25.3449, 0.0724, -7.1737], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [25.1284, 0.0724, -7.0487], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [24.9119, 0.0724, -6.9237], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [24.9119, 0.0724, -6.9237], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.6619, 0.0724, -6.9237], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.4119, 0.0724, -6.9236], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [24.1619, 0.0724, -6.9236], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.9119, 0.0724, -6.9236], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.6619, 0.0724, -6.9236], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.4119, 0.0724, -6.9236], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [23.1619, 0.0724, -6.9236], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [22.9119, 0.0724, -6.9236], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [22.6619, 0.0724, -6.9236], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [22.4119, 0.0724, -6.9235], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [22.1619, 0.0724, -6.9235], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [21.9119, 0.0724, -6.9235], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [21.6619, 0.0724, -6.9235], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [21.4119, 0.0724, -6.9235], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [21.1619, 0.0724, -6.9235], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [20.9119, 0.0724, -6.9235], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [20.6619, 0.0724, -6.9235], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [20.4119, 0.0724, -6.9234], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [20.1619, 0.0724, -6.9234], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [19.9119, 0.0724, -6.9234], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [19.6619, 0.0724, -6.9234], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [19.4119, 0.0724, -6.9234], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [19.1619, 0.0724, -6.9234], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [18.9119, 0.0724, -6.9234], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [18.6619, 0.0724, -6.9234], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [18.4119, 0.0724, -6.9233], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [18.1619, 0.0724, -6.9233], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [17.9119, 0.0724, -6.9233], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [17.6619, 0.0724, -6.9233], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
