START | Pos: [25.5614, 0.0724, -7.2987] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5614, 0.0724, -7.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5614, 0.0724, -6.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5614, 0.0724, -6.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -6.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -6.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -5.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -5.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -5.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -5.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -4.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5615, 0.0724, -4.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5616, 0.0724, -4.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5616, 0.0724, -4.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5616, 0.0724, -3.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5616, 0.0724, -3.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5616, 0.0724, -3.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5616, 0.0724, -3.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5616, 0.0724, -2.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5617, 0.0724, -2.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5617, 0.0724, -2.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5617, 0.0724, -2.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5617, 0.0724, -1.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5617, 0.0724, -1.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5617, 0.0724, -1.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5617, 0.0724, -1.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5617, 0.0724, -0.7987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5618, 0.0724, -0.5487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5618, 0.0724, -0.2987], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5618, 0.0724, -0.0487], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5618, 0.0724, 0.2013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5618, 0.0724, 0.4513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5618, 0.0724, 0.7013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5618, 0.0724, 0.9513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5619, 0.0724, 1.2013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5619, 0.0724, 1.4513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5619, 0.0724, 1.7013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5619, 0.0724, 1.9513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5619, 0.0724, 2.2013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5619, 0.0724, 2.4513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5619, 0.0724, 2.7013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5619, 0.0724, 2.9513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5620, 0.0724, 3.2013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5620, 0.0724, 3.4513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5620, 0.0724, 3.7013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5620, 0.0724, 3.9513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5620, 0.0724, 4.2013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5620, 0.0724, 4.4513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5620, 0.0724, 4.7013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5621, 0.0724, 4.9513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5621, 0.0724, 5.2013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5621, 0.0724, 5.4513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.5621, 0.0724, 5.7013], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.4882, 0.0724, 5.9513], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.4581, 0.0724, 6.1411], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.3882, 0.0724, 6.3911], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.3765, 0.0724, 6.4769], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.3587, 0.0724, 6.4781], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.3410, 0.0724, 6.4794], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.3232, 0.0724, 6.4807], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.3055, 0.0724, 6.4819], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.2877, 0.0724, 6.4832], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.2700, 0.0724, 6.4845], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.2522, 0.0724, 6.4857], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.2345, 0.0724, 6.4870], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.2167, 0.0724, 6.4883], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.1990, 0.0724, 6.4895], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.1812, 0.0724, 6.4908], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.1634, 0.0724, 6.4921], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.1457, 0.0724, 6.4933], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.1279, 0.0724, 6.4946], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.1102, 0.0724, 6.4959], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.0924, 0.0724, 6.4971], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.0747, 0.0724, 6.4984], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.0569, 0.0724, 6.4997], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.0392, 0.0724, 6.5010], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.0214, 0.0724, 6.5022], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [25.0037, 0.0724, 6.5035], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.9859, 0.0724, 6.5048], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.9682, 0.0724, 6.5060], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.9504, 0.0724, 6.5073], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.9327, 0.0724, 6.5086], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.9149, 0.0724, 6.5098], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.8971, 0.0724, 6.5111], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.8794, 0.0724, 6.5124], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.8616, 0.0724, 6.5136], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.8439, 0.0724, 6.5149], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.8261, 0.0724, 6.5162], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.8084, 0.0724, 6.5174], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.7906, 0.0724, 6.5187], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.7729, 0.0724, 6.5200], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.7551, 0.0724, 6.5212], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.7374, 0.0724, 6.5225], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.7196, 0.0724, 6.5238], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.7019, 0.0724, 6.5250], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.6380, 0.0724, 6.8006], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [24.6380, 0.0724, 7.0506], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
