START | Pos: [25.5614, 0.0724, -7.2987] | Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [25.5614, 0.0724, -7.2987], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [25.4364, 0.0724, -7.0822], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [25.3114, 0.0724, -6.8657], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [25.1864, 0.0724, -6.6492], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [25.0614, 0.0724, -6.4326], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [24.9365, 0.0724, -6.2161], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [24.8115, 0.0724, -5.9996], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [24.6865, 0.0724, -5.7831], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [24.5615, 0.0724, -5.5666], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [24.4365, 0.0724, -5.3501], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [24.3115, 0.0724, -5.1336], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [24.1865, 0.0724, -4.9171], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [24.0615, 0.0724, -4.7005], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [23.9365, 0.0724, -4.4840], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [23.8116, 0.0724, -4.2675], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [23.6866, 0.0724, -4.0510], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
