START | Pos: [25.5614, 0.0724, -7.2987] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [25.3114, 0.0724, -7.2987], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [25.0614, 0.0724, -7.2987], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [24.8114, 0.0724, -7.2987], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [24.5614, 0.0724, -7.2987], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [24.3114, 0.0724, -7.2986], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [24.0614, 0.0724, -7.2986], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.8114, 0.0724, -7.2986], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.5614, 0.0724, -7.2986], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.3114, 0.0724, -7.2986], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.0614, 0.0724, -7.2986], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.8114, 0.0724, -7.2986], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.5614, 0.0724, -7.2986], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.3114, 0.0724, -7.2985], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.0614, 0.0724, -7.2985], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.8114, 0.0724, -7.2985], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.5614, 0.0724, -7.2985], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.3114, 0.0724, -7.2985], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.0614, 0.0724, -7.2985], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.8114, 0.0724, -7.2985], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.5614, 0.0724, -7.2985], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.3114, 0.0724, -7.2984], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.0614, 0.0724, -7.2984], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.8114, 0.0724, -7.2984], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.5614, 0.0724, -7.2984], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.3114, 0.0724, -7.2984], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.0614, 0.0724, -7.2984], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
