START | Pos: [-10.715, 0.2362, -7.466] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-10.7150, 0.2095, -7.7160], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-10.7150, 0.1827, -7.9660], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-10.7191, 0.1728, -8.0586], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-10.7255, 0.1728, -8.0588], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-10.7319, 0.1728, -8.0589], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-10.7383, 0.1728, -8.0591], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-10.7447, 0.1728, -8.0592], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-10.7512, 0.1728, -8.0594], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-10.7512, 0.1728, -8.0594], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-10.6318, 0.1728, -8.0563], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-10.5124, 0.1728, -8.0533], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-10.3931, 0.1728, -8.0502], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-10.2737, 0.1728, -8.0472], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-10.1544, 0.1728, -8.0441], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-10.0350, 0.1728, -8.0410], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-9.9156, 0.1728, -8.0380], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-9.9156, 0.1728, -8.0380], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-9.9156, 0.1728, -8.0380], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.6658, 0.1728, -8.0316], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.4160, 0.1728, -8.0252], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.1661, 0.1728, -8.0188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.9163, 0.1728, -8.0124], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.6665, 0.1728, -8.0060], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.4165, 0.1747, -8.0060], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.1665, 0.1816, -8.0060], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.9165, 0.1808, -8.0060], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.6665, 0.1800, -8.0060], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.4165, 0.1792, -8.0060], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
