START | Pos: [-10.715, 0.2362, -7.466] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7150, 0.2630, -7.2160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7150, 0.2731, -6.9660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7150, 0.2705, -6.7160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7150, 0.2679, -6.4660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7149, 0.3279, -6.2160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7149, 0.4947, -5.9660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7149, 0.6610, -5.7160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7149, 0.7635, -5.4660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7149, 0.7349, -5.2160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7149, 0.7062, -4.9660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7149, 0.6776, -4.7160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7149, 0.6490, -4.4660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7148, 0.6118, -4.2160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7148, 0.5728, -3.9660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7148, 0.5728, -3.7160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7148, 0.5728, -3.4660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7148, 0.5728, -3.2160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7148, 0.5616, -2.9660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7148, 0.5429, -2.7160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7148, 0.5241, -2.4660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7147, 0.5054, -2.2160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7147, 0.4867, -1.9660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7147, 0.4680, -1.7160], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.7147, 0.4612, -1.4660], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-10.7147, 0.4612, -1.4660], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-10.7147, 0.4612, -1.4660], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-10.7147, 0.4612, -1.4660], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.9647, 0.4510, -1.4660], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-10.9647, 0.4510, -1.4660], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-10.9647, 0.4510, -1.4660], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-11.0897, 0.4681, -1.6825], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-11.2147, 0.4852, -1.8990], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-11.3397, 0.5022, -2.1155], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-11.4647, 0.5193, -2.3320], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-11.5898, 0.5319, -2.5485], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-11.7148, 0.5025, -2.7650], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-11.8398, 0.4309, -2.9815], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-11.9648, 0.3728, -3.1980], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-12.0898, 0.4360, -3.4145], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-12.2148, 0.5143, -3.6310], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-12.2148, 0.5143, -3.6310], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.2148, 0.5728, -3.8810], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-12.2148, 0.5728, -3.8810], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-12.3398, 0.5181, -4.0975], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-12.4648, 0.4256, -4.3140], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-12.5899, 0.4429, -4.5305], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-12.7149, 0.4805, -4.7470], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-12.8399, 0.5587, -4.9635], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-12.9649, 0.6367, -5.1800], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
