START | Pos: [-7.704, 0.36488, -17.870352] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-7.9540, 0.3649, -17.8703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.2040, 0.3826, -17.8703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.4540, 0.3902, -17.8703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.7040, 0.3711, -17.8703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.9540, 0.3723, -17.8703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.2040, 0.3723, -17.8703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.4540, 0.3723, -17.8703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7040, 0.2683, -17.8702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.9540, 0.2676, -17.8702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2040, 0.2660, -17.8702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.4540, 0.2644, -17.8702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7040, 0.2628, -17.8702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.9540, 0.2612, -17.8702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.2040, 0.2704, -17.8702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.4540, 0.2864, -17.8702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.7040, 0.3024, -17.8701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.9540, 0.3184, -17.8701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-12.2040, 0.3344, -17.8701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-12.4540, 0.3504, -17.8701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-12.7040, 0.3649, -17.8701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-12.7040, 0.3649, -17.8701], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-12.7040, 0.3649, -17.8701], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-12.7040, 0.3649, -17.8701], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-12.7040, 0.3649, -17.8701], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.5790, 0.3649, -18.0866], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.4540, 0.4724, -18.3031], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.3290, 0.5896, -18.5196], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.2040, 0.7068, -18.7361], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.0791, 0.8240, -18.9526], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.9541, 0.9412, -19.1692], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.8291, 0.9649, -19.2048], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.7041, 0.9649, -19.2048], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.5791, 0.9649, -19.2048], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.4541, 0.9649, -19.2048], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.3291, 0.9649, -19.2048], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.2041, 0.9649, -19.2048], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.0791, 0.9649, -19.2048], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-10.9541, 0.9649, -19.2048], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-10.8292, 0.9649, -19.4213], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-10.7042, 0.9649, -19.6378], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-10.7042, 0.9649, -19.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7042, 0.9649, -19.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7042, 0.9807, -20.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7042, 0.9984, -20.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7042, 1.0162, -20.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7042, 1.0339, -20.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7042, 1.0228, -21.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7043, 1.0247, -21.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7043, 1.0266, -21.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7043, 1.0285, -21.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7043, 1.0304, -22.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7043, 1.0229, -22.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7043, 1.0138, -22.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7043, 0.9970, -22.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7043, 0.9676, -23.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7044, 0.9649, -23.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7044, 0.9649, -23.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7044, 0.9649, -23.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7044, 0.9649, -24.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7044, 0.9649, -24.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7044, 0.9649, -24.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7044, 0.9649, -24.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7044, 0.9649, -25.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7045, 0.9649, -25.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7045, 0.9649, -25.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7045, 0.9649, -25.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7045, 0.9649, -26.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7045, 0.9649, -26.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7045, 0.9649, -26.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7045, 0.9762, -26.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7045, 0.9938, -27.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7046, 1.0058, -27.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7046, 1.0065, -27.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7046, 1.0072, -27.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7046, 1.0079, -28.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7046, 1.0086, -28.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7046, 1.0094, -28.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7046, 1.0101, -28.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7046, 1.0107, -29.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7047, 1.0113, -29.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7047, 1.0119, -29.6378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7047, 1.0122, -29.8878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7047, 1.0266, -30.1378], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-10.7047, 1.0980, -30.3878], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-10.7047, 1.0980, -30.3878], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-10.7047, 1.0980, -30.3878], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-10.4882, 1.1423, -30.5128], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-10.2717, 1.1649, -30.6378], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-10.0552, 1.1649, -30.7628], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-9.8387, 1.1649, -30.8878], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-9.6222, 1.1649, -31.0129], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-9.4057, 1.1649, -31.1379], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-9.1892, 1.1649, -31.2629], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-8.9727, 1.1649, -31.3879], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-8.9727, 1.1649, -31.3879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.7227, 1.1649, -31.3879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.4727, 1.1649, -31.3879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.2227, 1.1649, -31.3879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.9727, 1.1649, -31.3879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.7227, 1.1649, -31.3879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.4727, 1.1649, -31.3880], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.2227, 1.1649, -31.3880], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.9727, 1.1280, -31.3880], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.7227, 1.2130, -31.3880], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.4727, 1.2825, -31.3880], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3880], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3880], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3880], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
