START | Pos: [-7.704, 0.36488, -17.870352] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.4540, 0.3621, -17.8704], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.2040, 0.3586, -17.8704], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-6.9540, 0.3439, -17.8704], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-6.7040, 0.2328, -17.8704], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-6.4540, 0.1649, -17.8704], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-6.2040, 0.1649, -17.8704], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.9540, 0.1649, -17.8704], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.7040, 0.1649, -17.8705], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.4540, 0.1649, -17.8705], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.2040, 0.1649, -17.8705], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.9540, 0.1649, -17.8705], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.7040, 0.1649, -17.8705], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.4540, 0.1649, -17.8705], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.2040, 0.1649, -17.8705], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.9540, 0.1649, -17.8706], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.7040, 0.1649, -17.8706], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.4540, 0.1649, -17.8706], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.2040, 0.1649, -17.8706], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.9540, 0.1649, -17.8706], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.7040, 0.1649, -17.8706], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.4540, 0.1649, -17.8706], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.2040, 0.1649, -17.8706], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.9540, 0.1649, -17.8707], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.7040, 0.1649, -17.8707], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.4540, 0.1649, -17.8707], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.2040, 0.1649, -17.8707], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.9540, 0.1649, -17.8707], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.7040, 0.1649, -17.8707], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.4540, 0.1649, -17.8707], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.2040, 0.1649, -17.8708], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.0460, 0.1649, -17.8708], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.2960, 0.1649, -17.8708], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.5460, 0.1649, -17.8708], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.7960, 0.1649, -17.8708], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [1.0460, 0.1649, -17.8708], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [1.2960, 0.1649, -17.8708], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [1.5460, 0.1649, -17.8708], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [1.7960, 0.1649, -17.8709], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [2.0460, 0.1649, -17.8709], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [2.2960, 0.1649, -17.8709], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [2.5460, 0.1649, -17.8709], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [2.7960, 0.1649, -17.8709], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [3.0460, 0.1649, -17.8709], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [3.2960, 0.1649, -17.8709], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [3.5460, 0.1649, -17.8710], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [3.7960, 0.1649, -17.8710], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [4.0460, 0.1649, -17.8710], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [4.2960, 0.1649, -17.8710], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [4.5460, 0.1649, -17.8710], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [4.7960, 0.1649, -17.8710], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.0460, 0.1649, -17.8710], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [5.0460, 0.1649, -17.8710], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.2625, 0.1649, -17.7460], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.4790, 0.1649, -17.6211], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.5378, 0.1649, -17.4961], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.5378, 0.1649, -17.3711], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [5.5378, 0.1649, -17.3711], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.3711], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.3711], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [5.5378, 0.1649, -17.3711], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [5.5378, 0.1649, -17.3711], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.3711], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [5.5378, 0.1649, -17.3711], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.5378, 0.1649, -17.2461], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [5.5378, 0.1649, -17.2461], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2461], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2462], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2463], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2463], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2463], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2463], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2463], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2463], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2463], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2463], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2464], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2464], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2464], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2464], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2464], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2464], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2464], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2465], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2465], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2465], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2465], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2465], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2465], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2465], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2465], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.5378, 0.1649, -17.2466], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
