START | Pos: [-7.704, 0.36488, -17.870352] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-7.7040, 0.3649, -17.8704], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-7.4875, 0.3473, -17.7454], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-7.2710, 0.3290, -17.6204], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-7.0545, 0.2126, -17.4954], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-6.8379, 0.1649, -17.3704], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-6.6214, 0.1649, -17.2454], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-6.4049, 0.1649, -17.1204], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-6.1884, 0.1649, -16.9954], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-5.9719, 0.1649, -16.8704], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-5.7554, 0.1649, -16.7455], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-5.5389, 0.1649, -16.6205], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-5.3224, 0.1649, -16.4955], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-5.1058, 0.1649, -16.3705], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-4.8893, 0.1649, -16.2455], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-4.6728, 0.1649, -16.1205], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-4.4563, 0.1649, -15.9955], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-4.2398, 0.1649, -15.8705], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-4.0233, 0.1649, -15.7455], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.8068, 0.1649, -15.6206], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.5903, 0.1649, -15.4956], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.3737, 0.1649, -15.3706], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.1572, 0.1649, -15.2456], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.9407, 0.1649, -15.1206], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.7242, 0.1649, -14.9956], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.5077, 0.1649, -14.8706], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.2912, 0.1649, -14.7456], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.0747, 0.1649, -14.6206], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-1.8582, 0.1649, -14.4956], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-1.6416, 0.1649, -14.3707], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-1.4251, 0.1649, -14.2457], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-1.2086, 0.1649, -14.1207], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-0.9921, 0.1649, -13.9957], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-0.7756, 0.1649, -13.8707], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-0.5591, 0.1649, -13.7457], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
