START | Pos: [-7.704, 0.36488, -17.870352] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.9540, 0.3649, -17.8703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.2040, 0.3826, -17.8703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.4540, 0.3902, -17.8703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.7040, 0.3711, -17.8703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-8.9540, 0.3723, -17.8703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.2040, 0.3723, -17.8703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.4540, 0.3723, -17.8703], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.7040, 0.2683, -17.8702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-9.9540, 0.2676, -17.8702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.2040, 0.2660, -17.8702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.4540, 0.2644, -17.8702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.7040, 0.2628, -17.8702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-10.9540, 0.2612, -17.8702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.2040, 0.2704, -17.8702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.4540, 0.2864, -17.8702], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-11.7040, 0.3024, -17.8701], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-11.7040, 0.3024, -17.8701], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-11.7040, 0.3024, -17.8701], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-11.7040, 0.3024, -17.8701], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-11.7040, 0.3024, -17.8701], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-11.7040, 0.3024, -17.8701], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.7040, 0.3024, -17.8701], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.4540, 0.2864, -17.8702], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.2040, 0.2704, -17.8702], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.9540, 0.2612, -17.8702], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7040, 0.2628, -17.8702], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.4540, 0.2644, -17.8702], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2040, 0.2660, -17.8702], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.9540, 0.2676, -17.8702], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7040, 0.2683, -17.8702], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.4540, 0.3723, -17.8703], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.2040, 0.3723, -17.8703], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.9540, 0.3723, -17.8703], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.7040, 0.3711, -17.8703], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.4540, 0.3902, -17.8703], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.2040, 0.3826, -17.8703], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.9540, 0.3649, -17.8703], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.7040, 0.3649, -17.8704], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.4540, 0.3621, -17.8704], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.2040, 0.3586, -17.8704], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-7.2040, 0.3586, -17.8704], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-6.9875, 0.3001, -17.7454], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-6.9875, 0.3001, -17.7454], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.7375, 0.1890, -17.7454], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.4875, 0.1649, -17.7454], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2375, 0.1649, -17.7454], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.9875, 0.1649, -17.7454], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.7375, 0.1649, -17.7455], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.4875, 0.1649, -17.7455], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.2375, 0.1649, -17.7455], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.9875, 0.1649, -17.7455], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.7375, 0.1649, -17.7455], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.4875, 0.1649, -17.7455], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.2375, 0.1649, -17.7455], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.9875, 0.1649, -17.7456], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.7375, 0.1649, -17.7456], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.4875, 0.1649, -17.7456], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.2375, 0.1649, -17.7456], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.9875, 0.1649, -17.7456], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.7375, 0.1649, -17.7456], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.4875, 0.1649, -17.7456], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.2375, 0.1649, -17.7456], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.9875, 0.1649, -17.7457], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.7375, 0.1649, -17.7457], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.4875, 0.1649, -17.7457], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.2375, 0.1649, -17.7457], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.9875, 0.1649, -17.7457], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.7375, 0.1649, -17.7457], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.4875, 0.1649, -17.7457], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.2375, 0.1649, -17.7458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.0125, 0.1649, -17.7458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.2625, 0.1649, -17.7458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.5125, 0.1649, -17.7458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.7625, 0.1649, -17.7458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.0125, 0.1649, -17.7458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.2625, 0.1649, -17.7458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.5125, 0.1649, -17.7458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.7625, 0.1649, -17.7459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.0125, 0.1649, -17.7459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.2625, 0.1649, -17.7459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.5125, 0.1649, -17.7459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.7625, 0.1649, -17.7459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.0125, 0.1649, -17.7459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.2625, 0.1649, -17.7459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.5125, 0.1649, -17.7460], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.7625, 0.1649, -17.7460], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.0125, 0.1649, -17.7460], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.2625, 0.1649, -17.7460], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.5125, 0.1649, -17.7460], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.7625, 0.1649, -17.7460], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.0125, 0.1649, -17.7460], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.2625, 0.1649, -17.7460], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5125, 0.1649, -17.7461], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7461], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7461], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7461], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7461], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7461], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7461], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7462], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7462], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7462], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7462], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7462], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7462], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7462], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7462], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7463], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7463], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7463], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7463], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7463], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7463], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7463], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7464], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7464], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7464], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7464], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5378, 0.1649, -17.7464], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
