START | Pos: [-14.8719, 0.169, 5.2188] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-15.1219, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-15.3719, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-15.6219, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-15.8719, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-16.1219, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-16.3719, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-16.6219, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-16.6219, 0.1690, 5.2189], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-16.8384, 0.1690, 5.3439], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-16.8384, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-17.0884, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-17.3384, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-17.3384, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-17.0884, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-16.8384, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-16.5884, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-16.3384, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-16.0884, 0.1690, 5.3439], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-15.8384, 0.1690, 5.3438], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-15.5884, 0.1690, 5.3438], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-15.5884, 0.1690, 5.3438], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-15.3719, 0.1690, 5.4688], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-15.1415, 0.1690, 5.5381], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.9083, 0.1690, 5.5964], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.6918, 0.1690, 5.7214], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.4752, 0.1690, 5.8464], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.2587, 0.1690, 5.9714], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.0422, 0.1690, 6.0964], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.0422, 0.1690, 6.0964], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-13.7922, 0.1690, 6.0964], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-13.5422, 0.1690, 6.0964], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-13.2922, 0.1690, 6.0964], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-13.0422, 0.1690, 6.0963], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.7922, 0.1715, 6.0963], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.5422, 0.2191, 6.0963], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
