START | Pos: [-14.8719, 0.169, 5.2188] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.8719, 0.1690, 5.4688], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-14.8719, 0.1690, 5.4688], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-14.7469, 0.1690, 5.6853], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-14.6219, 0.1690, 5.9018], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-14.6219, 0.1690, 5.9018], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-14.6219, 0.1690, 5.9018], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.6219, 0.1690, 5.9018], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-14.7450, 0.1690, 6.0124], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-14.7312, 0.1690, 6.1020], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.7312, 0.1690, 6.1020], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.7538, 0.1690, 6.3698], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.8788, 0.1690, 6.5863], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.0038, 0.1690, 6.8028], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.1288, 0.1690, 7.0193], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.2538, 0.1690, 7.2358], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.3787, 0.1690, 7.4523], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.5037, 0.1690, 7.6688], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-15.5037, 0.1690, 7.6688], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-15.5037, 0.1690, 7.9188], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-15.5037, 0.1690, 7.9188], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.6287, 0.1690, 8.1353], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.7537, 0.1690, 8.3519], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-15.8787, 0.1690, 8.5684], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-16.0037, 0.1690, 8.7849], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-16.1287, 0.1690, 9.0014], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
