START | Pos: [-14.8719, 0.169, 5.2188] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-15.1219, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-15.3719, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-15.6219, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-15.8719, 0.1690, 5.2188], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-16.1219, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-16.3719, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-16.6219, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-16.8719, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-17.1219, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-17.3719, 0.1690, 5.2189], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-17.3719, 0.1690, 5.2189], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-17.5884, 0.1690, 5.3439], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-17.5884, 0.1690, 5.5939], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-17.5884, 0.1690, 5.5939], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-17.7134, 0.1690, 5.8104], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-17.7134, 0.1690, 5.8104], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-17.7134, 0.1690, 6.0604], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-17.7134, 0.1690, 6.0604], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-17.8383, 0.1690, 6.2770], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-17.9633, 0.1690, 6.4935], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-17.9633, 0.1690, 6.4935], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-17.9633, 0.1690, 6.7435], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-17.9633, 0.1690, 6.7435], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-18.0883, 0.1690, 6.9600], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-18.0883, 0.1690, 6.9600], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.0883, 0.1690, 7.2100], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.0883, 0.1690, 7.4600], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-18.0883, 0.1690, 7.4600], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-18.2133, 0.1690, 7.6765], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-18.2133, 0.1690, 7.6765], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.2133, 0.1690, 7.9265], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.2132, 0.1690, 8.1765], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.2132, 0.1690, 8.4265], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.2132, 0.1690, 8.6765], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.2132, 0.1690, 8.9265], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.2132, 0.1690, 9.1765], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.2132, 0.1690, 9.4265], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-18.2132, 0.1690, 9.6765], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
stop, Pos: [-18.2132, 0.1690, 9.6765], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
