START | Pos: [-14.8719, 0.169, 5.2188] | Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-14.7469, 0.1690, 5.4353], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-14.6219, 0.1690, 5.6518], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-14.6219, 0.1690, 5.6518], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.6219, 0.1690, 5.9018], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.6219, 0.1690, 6.1518], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.6218, 0.1690, 6.4018], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.6218, 0.1690, 6.6518], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-14.6218, 0.1690, 6.6518], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.6218, 0.1690, 6.6518], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-14.6218, 0.1690, 6.6518], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-14.6218, 0.1690, 6.6518], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-14.6218, 0.1690, 6.6518], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-14.6218, 0.1690, 6.6518], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-14.6218, 0.1690, 6.6518], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.4968, 0.1690, 6.4353], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.3719, 0.1690, 6.2188], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.2469, 0.1690, 6.0023], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.1219, 0.1690, 5.7857], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-13.9969, 0.1690, 5.5692], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-13.9969, 0.1690, 5.5692], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-13.9969, 0.1690, 5.5692], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-13.9969, 0.1690, 5.5692], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-13.9969, 0.1690, 5.5692], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.8719, 0.1690, 5.7857], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.7469, 0.1690, 6.0022], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.6219, 0.1690, 6.2187], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.4968, 0.1690, 6.4352], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
stop, Pos: [-13.4968, 0.1690, 6.4352], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
