START | Pos: [-14.8719, 0.169, 5.2188] | Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-14.7469, 0.1690, 5.0023], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-14.7469, 0.1690, 5.0023], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-14.5274, 0.1690, 4.8834], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-14.5274, 0.1690, 4.8834], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-14.5274, 0.1690, 4.8834], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-14.5274, 0.1690, 4.8834], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-14.5274, 0.1690, 4.8834], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-14.5274, 0.1690, 4.8834], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.6523, 0.1690, 5.0999], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.7773, 0.1690, 5.3164], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.7773, 0.1690, 5.3164], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.7773, 0.1690, 5.5664], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.7752, 0.1690, 5.8161], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.7376, 0.1690, 6.0603], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-14.7268, 0.1690, 6.3157], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-14.7268, 0.1690, 6.3157], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.8384, 0.1690, 6.5389], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.9634, 0.1690, 6.7555], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.0884, 0.1690, 6.9720], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
