START | Pos: [-14.8719, 0.169, 5.2188] | Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-14.7469, 0.1690, 5.4353], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-14.6219, 0.1690, 5.6518], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-14.4969, 0.1690, 5.8683], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-14.3719, 0.1690, 6.0848], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-14.3719, 0.1690, 6.0848], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3718, 0.1690, 6.3348], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3718, 0.1690, 6.5848], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3718, 0.1690, 6.8348], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3718, 0.1690, 7.0848], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3718, 0.1690, 7.3348], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3718, 0.1690, 7.5848], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3718, 0.1690, 7.8348], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3718, 0.1690, 8.0848], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3717, 0.1690, 8.3348], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3358, 0.1690, 8.5704], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3195, 0.1690, 8.8367], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.3195, 0.1690, 9.0867], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.2550, 0.1690, 9.3367], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.2550, 0.1690, 9.5867], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.2550, 0.1690, 9.8367], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
stop, Pos: [-14.2550, 0.1690, 9.8367], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
