START | Pos: [-14.8719, 0.169, 5.2188] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.6554, 0.1690, 5.3438], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.4389, 0.1690, 5.4688], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.2224, 0.1690, 5.5938], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-14.0058, 0.1690, 5.7188], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-13.7893, 0.1690, 5.8437], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-13.7893, 0.1690, 5.8437], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-13.5393, 0.1690, 5.8437], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-13.2893, 0.1690, 5.8437], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-13.0393, 0.1690, 5.8437], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.7893, 0.1720, 5.8437], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.5393, 0.2196, 5.8437], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.2893, 0.2085, 5.8437], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.0393, 0.1690, 5.8437], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.7893, 0.1690, 5.8436], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.5393, 0.1690, 5.8436], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.2893, 0.1690, 5.8436], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.0393, 0.1690, 5.8436], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7893, 0.1690, 5.8436], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.5393, 0.1690, 5.8436], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2893, 0.1690, 5.8436], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.0393, 0.1690, 5.8436], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7893, 0.1690, 5.8435], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.5393, 0.1690, 5.8435], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.2893, 0.1690, 5.8435], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.0393, 0.1690, 5.8435], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.7893, 0.1690, 5.8435], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.5393, 0.1690, 5.8435], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.2893, 0.1690, 5.8435], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.0393, 0.1690, 5.8435], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.7893, 0.1690, 5.8434], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.5393, 0.1690, 5.8434], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.2893, 0.1690, 5.8434], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.0393, 0.1690, 5.8434], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.7893, 0.1690, 5.8434], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.5393, 0.1690, 5.8434], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2893, 0.1690, 5.8434], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-6.2893, 0.1690, 5.8434], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-6.0728, 0.1690, 5.9684], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.8563, 0.1690, 6.0934], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.6398, 0.1690, 6.2183], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.4233, 0.1690, 6.3433], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-5.4233, 0.1690, 6.3433], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.1733, 0.1690, 6.3433], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.9233, 0.1690, 6.3433], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.6733, 0.1690, 6.3433], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.4233, 0.1690, 6.3433], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.1733, 0.1690, 6.3433], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.9233, 0.1690, 6.3433], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.6733, 0.1690, 6.3432], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-3.6733, 0.1690, 6.3432], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-3.6733, 0.1690, 6.3432], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-3.6733, 0.1690, 6.3432], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-3.6733, 0.1690, 6.3432], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-3.8411, 0.1690, 6.2016], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.0286, 0.1690, 6.0945], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-4.2264, 0.1690, 5.9508], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-4.2264, 0.1690, 5.9508], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-4.2264, 0.1690, 5.9508], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-4.2264, 0.1690, 5.9508], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.4429, 0.1690, 6.0758], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.6594, 0.1690, 6.2009], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-4.6594, 0.1690, 6.2009], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.9094, 0.1690, 6.2009], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.1466, 0.1690, 6.2138], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.4110, 0.1690, 6.2499], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.6610, 0.1690, 6.2499], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.9110, 0.1690, 6.2499], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.1610, 0.1690, 6.2499], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.4110, 0.1690, 6.2499], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.6610, 0.1690, 6.2499], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.9110, 0.1690, 6.2499], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-7.1610, 0.1690, 6.2499], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-7.4110, 0.1690, 6.2500], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-7.6610, 0.1690, 6.2500], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-7.9110, 0.1690, 6.2500], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.1610, 0.1690, 6.2500], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.4110, 0.1690, 6.2500], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.6610, 0.1690, 6.2500], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.9110, 0.1690, 6.2500], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.1610, 0.1690, 6.2500], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.4110, 0.1690, 6.2501], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.6610, 0.1690, 6.2501], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.9110, 0.1690, 6.2501], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.1610, 0.1690, 6.2501], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.4110, 0.1690, 6.2501], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.6610, 0.1690, 6.2501], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.9110, 0.1690, 6.2501], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.1610, 0.1690, 6.2501], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.4110, 0.1690, 6.2502], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.6610, 0.1690, 6.2502], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.9110, 0.1690, 6.2502], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-12.1610, 0.1690, 6.2502], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-12.4110, 0.1690, 6.2502], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-12.6610, 0.1965, 6.2502], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-12.9110, 0.1690, 6.2502], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-13.1610, 0.1690, 6.2502], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-13.4110, 0.1690, 6.2503], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-13.6610, 0.1690, 6.2503], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-13.9110, 0.1690, 6.2503], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-14.1610, 0.1690, 6.2503], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-14.4110, 0.1690, 6.2503], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4110, 0.1690, 6.2503], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4110, 0.1690, 6.2503], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.5360, 0.1690, 6.4668], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-14.6610, 0.1690, 6.6833], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-14.6610, 0.1690, 6.6833], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-14.8775, 0.1690, 6.8083], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.8775, 0.1690, 6.8083], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.0025, 0.1690, 7.0249], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.1275, 0.1690, 7.2414], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.2524, 0.1690, 7.4579], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.3804, 0.1690, 7.6737], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.5054, 0.1690, 7.8902], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.6304, 0.1690, 8.1067], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.7554, 0.1690, 8.3232], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.8804, 0.1690, 8.5397], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.0053, 0.1690, 8.7562], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.1303, 0.1690, 8.9727], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.2553, 0.1690, 9.1892], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.3803, 0.1690, 9.4058], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.5053, 0.1690, 9.6223], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-16.5053, 0.1690, 9.6223], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-16.5053, 0.1690, 9.6223], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-16.5053, 0.1690, 9.6223], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-16.5053, 0.1690, 9.6223], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-16.5053, 0.1690, 9.6223], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-16.5053, 0.1690, 9.6223], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-16.5053, 0.1690, 9.6223], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-16.4658, 0.1690, 9.4052], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-16.4658, 0.1690, 9.4052], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-16.3408, 0.1690, 9.1887], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-16.2158, 0.1690, 8.9721], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-16.2158, 0.1690, 8.9721], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-16.2159, 0.1690, 8.7221], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-16.2159, 0.1690, 8.4721], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-16.2159, 0.1690, 8.4721], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-16.0909, 0.1690, 8.2556], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-16.0909, 0.1690, 8.2556], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-16.0909, 0.1690, 8.0056], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-16.0909, 0.1690, 8.0056], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-15.9659, 0.1690, 7.7891], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-15.9659, 0.1690, 7.7891], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-15.7494, 0.1690, 7.6641], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-15.5329, 0.1690, 7.5391], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-15.3164, 0.1690, 7.4141], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-15.0999, 0.1690, 7.2891], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-14.8834, 0.1690, 7.1641], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-14.6669, 0.1690, 7.0391], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-14.4504, 0.1690, 6.9140], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
