START | Pos: [-14.8719, 0.169, 5.2188] | Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-14.8719, 0.1690, 5.2188], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-14.7469, 0.1690, 5.4353], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-14.6219, 0.1690, 5.6518], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-14.4969, 0.1690, 5.8683], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-14.3719, 0.1690, 6.0848], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-14.2468, 0.1690, 6.3013], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-14.1218, 0.1690, 6.5178], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.9968, 0.1690, 6.7343], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-13.8718, 0.1690, 6.9508], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
stop, Pos: [-13.8718, 0.1690, 6.9508], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
