START | Pos: [2.078, 0.029, -26.96813] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.2030, 0.0296, -26.7516], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.3280, 0.0296, -26.5351], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.4530, 0.0296, -26.3186], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.5780, 0.0296, -26.1021], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.7031, 0.0296, -25.8856], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [2.7031, 0.0296, -25.8856], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.9196, 0.0296, -25.7606], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [2.9196, 0.0296, -25.7606], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.0446, 0.0296, -25.5441], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [3.0446, 0.0296, -25.5441], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.0446, 0.0296, -25.2941], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.0446, 0.0296, -25.0441], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.0446, 0.0296, -24.7941], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.0446, 0.0296, -24.5441], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.0446, 0.0296, -24.2941], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.0447, 0.0296, -24.0441], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.0447, 0.0296, -23.7941], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [3.0447, 0.0296, -23.7941], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.9197, 0.0296, -23.5776], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.7947, 0.0296, -23.3611], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.6697, 0.0296, -23.1446], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.5447, 0.0296, -22.9281], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.4197, 0.0296, -22.7116], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.2947, 0.0296, -22.4951], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.1697, 0.0296, -22.2786], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [2.0168, 0.0296, -22.0620], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.8918, 0.0296, -21.8455], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.7668, 0.0296, -21.6290], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.7668, 0.0296, -21.6290], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.7668, 0.0296, -21.3790], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.7668, 0.0296, -21.1290], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [1.7668, 0.0296, -21.1290], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [1.7668, 0.0296, -21.1290], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.5503, 0.0296, -21.0040], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.3338, 0.0296, -20.8790], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.1173, 0.0296, -20.7540], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.0736, 0.0296, -20.6133], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.8571, 0.0296, -20.4883], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.6406, 0.0296, -20.3632], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.4241, 0.0296, -20.2382], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.2076, 0.0296, -20.1132], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [0.2076, 0.0296, -20.1132], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.0424, 0.0296, -20.1132], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.2924, 0.0296, -20.1132], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.5424, 0.0296, -20.1132], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.7924, 0.0296, -20.1132], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.0424, 0.0296, -20.1132], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.2924, 0.0296, -20.1132], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.5424, 0.0296, -20.1131], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.7924, 0.0296, -20.1131], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.0424, 0.0296, -20.1131], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
