START | Pos: [2.078, 0.029, -26.96813] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.8615, 0.0296, -26.8431], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.6450, 0.0296, -26.7181], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.4285, 0.0296, -26.5931], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.4285, 0.0296, -26.5931], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.3035, 0.0296, -26.3766], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [1.3035, 0.0296, -26.3766], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.0870, 0.0296, -26.2516], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.0870, 0.0296, -26.2516], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.9620, 0.0296, -26.0351], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [0.9620, 0.0296, -26.0351], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.7455, 0.0296, -25.9100], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [0.7455, 0.0296, -25.9100], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [0.6205, 0.0296, -25.6935], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [0.6205, 0.0296, -25.6935], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.4040, 0.0296, -25.5685], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [0.1875, 0.0296, -25.4435], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.0290, 0.0296, -25.3185], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.2455, 0.0296, -25.1935], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-0.2455, 0.0296, -25.1935], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.4955, 0.0296, -25.1935], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.7455, 0.0296, -25.1935], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.9955, 0.0296, -25.1934], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.2455, 0.0296, -25.1934], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.4955, 0.0296, -25.1934], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.7455, 0.0296, -25.1934], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.9955, 0.0296, -25.1934], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.2455, 0.0296, -25.1934], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.4955, 0.0296, -25.1934], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.7455, 0.0296, -25.1934], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.9955, 0.0296, -25.1933], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.2455, 0.0296, -25.1933], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.4955, 0.0296, -25.1933], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.7455, 0.0296, -25.1933], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.9955, 0.0296, -25.1933], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.2455, 0.0296, -25.1933], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.4955, 0.0296, -25.1933], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.7455, 0.0296, -25.1932], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-4.9955, 0.0296, -25.1932], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-5.2455, 0.0296, -25.1932], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-5.4955, 0.0296, -25.1932], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
