START | Pos: [-13.707, 0.08012, 8.04988] | Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-13.7070, 0.0801, 7.7999], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-13.7070, 0.0801, 7.7999], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-13.7070, 0.0801, 7.7999], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-13.4905, 0.0801, 7.6749], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-13.2740, 0.0801, 7.5499], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-13.2740, 0.0801, 7.5499], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-13.2740, 0.0801, 7.5499], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-13.0575, 0.0801, 7.6748], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-12.8410, 0.0801, 7.7998], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-12.8410, 0.0801, 7.7998], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-12.8410, 0.0801, 7.7998], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-12.8410, 0.0801, 7.7998], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-12.8410, 0.0801, 7.7998], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.8410, 0.0801, 7.5498], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.8410, 0.0801, 7.2998], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.8513, 0.0801, 7.2458], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.8645, 0.0801, 7.2451], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-12.8645, 0.0801, 7.2451], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.7512, 0.0801, 7.2511], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-12.7512, 0.0801, 7.2511], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.7643, 0.0801, 7.2504], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.7775, 0.0801, 7.2497], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.7906, 0.0801, 7.2490], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.8037, 0.0801, 7.2483], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
