START | Pos: [-13.707, 0.08012, 8.04988] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-13.4905, 0.0801, 7.9249], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-13.4905, 0.0801, 7.9249], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-13.3655, 0.0801, 7.7084], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-13.2405, 0.0801, 7.4918], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-13.1155, 0.0801, 7.2753], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-13.0000, 0.0801, 7.2380], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.8867, 0.0801, 7.2440], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.7734, 0.0801, 7.2499], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.6601, 0.0801, 7.2559], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-12.6601, 0.0801, 7.2559], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-12.6601, 0.0801, 7.2559], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.4108, 0.0801, 7.2690], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.1608, 0.0801, 7.2690], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-12.1608, 0.0801, 7.2690], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-12.1608, 0.0801, 7.2690], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-12.0358, 0.0801, 7.0525], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-11.9108, 0.0801, 6.8360], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-11.9108, 0.0801, 6.8360], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
